"player_code","player_name"
"3064511","andrew-harrison"
"3057304","vince-hunter"
"3064517","jarell-martin"
"2578213","ben-mclemore"
"6466","chandler-parsons"
"3917378","ivan-rabb"
"3059316","wayne-selden"
"4066335","kobi-simmons"
"3242","brandan-wright"
"4066261","bam-adebayo"
"3423","goran-dragic"
"3981","wayne-ellington"
"2991178","aj-hammons"
"2184","udonis-haslem"
"3999","james-johnson"
"2530276","tyler-johnson"
"2488826","rodney-mcgruder"
"3064520","jordan-mickey"
"2489663","kelly-olynyk"
"2581190","josh-richardson"
"6628","dion-waiters"
"3056273","derrick-walton-jr."
"2528473","okaro-white"
"4262","hassan-whiteside"
"2991295","matt-williams"
"3135047","justise-winslow"
"3032977","giannis-antetokounmpo"
"4238","eric-bledsoe"
"2983551","joel-bolomboy"
"2566769","malcolm-brogdon"
"3057187","sterling-brown"
"2489716","matthew-dellavedova"
"6592","john-henson"
"6453","deandre-liggins"
"4017843","thon-maker"
"6609","khris-middleton"
"3056600","jabari-parker"
"3134903","gary-payton-ii"
"2528353","tony-snell"
"4385","mirza-teletovic"
"841","jason-terry"
"3137733","rashad-vaughn"
"3136491","d.j.-wilson"
"4267","cole-aldrich"
"4269","nemanja-bjelica"
"3192","aaron-brooks"
"2531362","anthony-brown"
"6430","jimmy-butler"
"165","jamal-crawford"
"2534781","gorgui-dieng"
"2982261","marcus-georges-hunt"
"3986","taj-gibson"
"3135046","tyus-jones"
"2993875","shabazz-muhammad"
"3912332","justin-patton"
"4015","jeff-teague"
"3136195","karl-anthony-towns"
"3059319","andrew-wiggins"
"3410","alexis-ajinca"
"2367","tony-allen"
"3414","omer-asik"
"2489785","ian-clark"
"2988387","charles-cooke"
"4258","demarcus-cousins"
"3974","dante-cunningham"
"6583","anthony-davis"
"3919335","cheick-diallo"
"2488958","solomon-hill"
"3995","jrue-holiday"
"4065651","frank-jackson"
"2579476","jalen-jones"
"6610","darius-miller"
"6460","e'twaun-moore"
"2439","jameer-nelson"
"3026","rajon-rondo"
"2580349","ron-baker"
"3418","michael-beasley"
"2991149","damyean-dotson"
"2528210","tim-hardaway-jr."
"2999409","willy-hernangomez"
"3074765","isaiah-hicks"
"2768","jarrett-jack"
"6447","enes-kanter"
"3064560","luke-kornet"
"3445","courtney-lee"
"2528588","doug-mcdermott"
"3224","joakim-noah"
"4230547","frank-ntilikina"
"6615","kyle-o'quinn"
"3102531","kristaps-porzingis"
"3231","ramon-sessions"
"6485","lance-thomas"
"2995702","alex-abrines"
"2991235","steven-adams"
"1975","carmelo-anthony"
"1978","nick-collison"
"3923250","pj-dozier"
"2753","raymond-felton"
"4230546","terrance-ferguson"
"4251","paul-george"
"2991070","jerami-grant"
"3147351","daniel-hamilton"
"2531364","josh-huestis"
"3064516","dakari-johnson"
"4264","patrick-patterson"
"2530596","andre-roberson"
"6469","kyle-singler"
"3468","russell-westbrook"
"3187","arron-afflalo"
"3059276","jamel-artis"
"3415","d.j.-augustin"
"2578240","khem-birch"
"6427","bismack-biyombo"
"6588","evan-fournier"
"3064290","aaron-gordon"
"2995706","mario-hezonja"
"4065654","jonathan-isaac"
"3074797","wesley-iwundu"
"6454","shelvin-mack"
"2531100","adreian-payne"
"2583639","elfrid-payton"
"6619","terrence-ross"
"2579466","jonathon-simmons"
"3460","marreese-speights"
"6478","nikola-vucevic"
"2982340","justin-anderson"
"3417","jerryd-bayless"
"4270","trevor-booker"
"2490620","robert-covington"
"3059318","joel-embiid"
"4066636","markelle-fultz"
"2993370","richaun-holmes"
"2769","amir-johnson"
"3929325","furkan-korkmaz"
"3893019","timothe-luwawu-cabarrot"
"2594818","james-michael-mcadoo"
"2530530","t.j.-mcconnell"
"2282622","jacob-pullen"
"3024","jj-redick"
"3032978","dario-saric"
"3907387","ben-simmons"
"4011991","dragan-bender"
"3136193","devin-booker"
"984","tyson-chandler"
"3907487","marquese-chriss"
"2489530","troy-daniels"
"3201","jared-dudley"
"2991155","danuel-house-jr."
"4066297","josh-jackson"
"2528096","mike-james"
"6448","brandon-knight"
"2596107","alex-len"
"4260","greg-monroe"
"3062897","alec-peters"
"3059262","davon-reed"
"3136194","tyler-ulis"
"2982334","tj-warren"
"2579326","alan-williams"
"4248","al-farouq-aminu"
"3136696","wade-baldwin-iv"
"4066650","zach-collins"
"2578239","pat-connaughton"
"4259","ed-davis"
"6591","maurice-harkless"
"2982268","jake-layman"
"6605","meyers-leonard"
"6606","damian-lillard"
"2490149","cj-mccollum"
"2530780","shabazz-napier"
"3102530","jusuf-nurkic"
"3906671","caleb-swanigan"
"4239","evan-turner"
"3078284","noah-vonleh"
"2488999","cj-wilcox"
"3037789","bogdan-bogdanovic"
"136","vince-carter"
"2991282","willie-cauley-stein"
"2488713","jack-cooley"
"4066259","de'aaron-fox"
"4065649","harry-giles"
"2990984","buddy-hield"
"3438","george-hill"
"3138156","justin-jackson"
"3444","kosta-koufos"
"3936296","skal-labissiere"
"3059315","frank-mason-iii"
"4017846","georgios-papagiannis"
"1017","zach-randolph"
"3934663","malachi-richardson"
"2608891","jakarr-sampson"
"4023","garrett-temple"
"2983","lamarcus-aldridge"
"2993874","kyle-anderson"
"6426","davis-bertans"
"2999546","matt-costello"
"2994526","bryn-forbes"
"996","pau-gasol"
"3005","rudy-gay"
"272","manu-ginobili"
"3988","danny-green"
"2578259","darrun-hilliard"
"2959753","joffrey-lauvergne"
"6450","kawhi-leonard"
"4004","patty-mills"
"3907497","dejounte-murray"
"1015","tony-parker"
"2488911","brandon-paul"
"3078576","derrick-white"
"3934719","og-anunoby"
"2528787","lorenzo-brown"
"3113297","bruno-caboclo"
"3978","demar-derozan"
"3439","serge-ibaka"
"3012","kyle-lowry"
"2530923","alfonzo-mckinnie"
"2778","cj-miles"
"2580980","malcolm-miller"
"3032980","lucas-nogueira"
"3134908","jakob-poeltl"
"2595516","norman-powell"
"3149673","pascal-siakam"
"6477","jonas-valanciunas"
"2991230","fred-vanvleet"
"3064447","delon-wright"
"4065673","tony-bradley"
"6429","alec-burks"
"3102528","dante-exum"
"4257","derrick-favors"
"3032976","rudy-gobert"
"2528646","eric-griffin"
"2581177","rodney-hood"
"2968436","joe-ingles"
