"Player","Age","Tm","G","MP","FG","FGA","X3P","X3PA","X2P","X2PA","eFG.","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","College","FG.","X3P.","X2P.","FT.","Season"
"Tyler Dorsey",22,"ATL",37.5,30.05,4.55,10,2.1,4.95,2.5,5.1,0.556,2.9,3.95,1.05,2.8,3.9,1.85,0.8,0.15,1.7,1.8,14,"University of Oregon",0.455,0.424242424242424,0.490196078431373,0.734177215189873,"2017-2018"
"Tyler Lydon",22,"DEN",35.5,33.2,3.9,8.3,1.35,3.5,2.55,4.8,0.56,2.4,2.95,2.05,5.4,7.45,1.6,1.05,1.6,1.5,2.6,11.65,"Syracuse University",0.469879518072289,0.385714285714286,0.53125,0.813559322033898,"2017-2018"
"Vince Hunter",24,"MEM",33,28.5,5.5,10.5,0.1,0.3,5.4,10.2,0.532,3.8,6.2,2.7,6.6,9.2,1.7,1.2,1,2.8,3,14.9,"University of Texas at El Paso",0.523809523809524,0.333333333333333,0.529411764705882,0.612903225806452,"2017-2018"
"Wesley Iwundu",24,"ORL",33,29.6666666666667,3.5,7.63333333333333,0.433333333333333,1.3,3.1,6.3,0.481,2.76666666666667,3.9,1.1,3.7,4.76666666666667,3.06666666666667,1,0.366666666666667,2.4,2.1,10.2333333333333,"Kansas State University",0.458515283842795,0.333333333333333,0.492063492063492,0.709401709401709,"2017-2018"
"Zach Collins",21,"POR",39,17.3,3.5,5.3,0.3,0.5,3.2,4.8,0.676,2.8,3.8,1.7,4.2,5.9,0.4,0.5,1.8,1.5,2.7,10,"Gonzaga University",0.660377358490566,0.6,0.666666666666667,0.736842105263158,"2017-2018"
"Ante Zizic",25,"CLE",157,20.5,2.7,5.96666666666667,1.06666666666667,2.76666666666667,1.63333333333333,3.23333333333333,NA,1.63333333333333,2.03333333333333,0.966666666666667,2.33333333333333,3.3,2.1,0.7,0.366666666666667,1.4,2.3,8.1,"International",0.452513966480447,0.385542168674699,0.505154639175258,0.80327868852459,"2017-2018"
"Bogdan Bogdanovic",25,"SAC",157,20.5,2.7,5.96666666666667,1.06666666666667,2.76666666666667,1.63333333333333,3.23333333333333,NA,1.63333333333333,2.03333333333333,0.966666666666667,2.33333333333333,3.3,2.1,0.7,0.366666666666667,1.4,2.3,8.1,"International",0.452513966480447,0.385542168674699,0.505154639175258,0.80327868852459,"2017-2018"
"Brandon Paul",22,"SAS",33.5844155844156,28.0094155844156,4.52056277056277,9.31147186147186,1.08852813852814,2.88766233766234,3.43452380952381,6.41883116883117,0.544707792207792,2.70974025974026,3.7202380952381,1.51287878787879,4.02045454545455,5.5254329004329,2.23041125541126,0.920021645021645,0.764718614718615,1.78214285714286,2.23874458874459,12.8406926406926,"University of Illinois at Urbana-Champaign",0.485483158604338,0.376958249006821,0.535069971337043,0.728378181818182,"2017-2018"
"Cedi Osman",25,"CLE",157,20.5,2.7,5.96666666666667,1.06666666666667,2.76666666666667,1.63333333333333,3.23333333333333,NA,1.63333333333333,2.03333333333333,0.966666666666667,2.33333333333333,3.3,2.1,0.7,0.366666666666667,1.4,2.3,8.1,"International",0.452513966480447,0.385542168674699,0.505154639175258,0.80327868852459,"2017-2018"
"Daniel Theis",25,"BOS",157,20.5,2.7,5.96666666666667,1.06666666666667,2.76666666666667,1.63333333333333,3.23333333333333,NA,1.63333333333333,2.03333333333333,0.966666666666667,2.33333333333333,3.3,2.1,0.7,0.366666666666667,1.4,2.3,8.1,"International",0.452513966480447,0.385542168674699,0.505154639175258,0.80327868852459,"2017-2018"
"Eric Griffin",22,"UTA",33.5844155844156,28.0094155844156,4.52056277056277,9.31147186147186,1.08852813852814,2.88766233766234,3.43452380952381,6.41883116883117,0.544707792207792,2.70974025974026,3.7202380952381,1.51287878787879,4.02045454545455,5.5254329004329,2.23041125541126,0.920021645021645,0.764718614718615,1.78214285714286,2.23874458874459,12.8406926406926,"Campbell University",0.485483158604338,0.376958249006821,0.535069971337043,0.728378181818182,"2017-2018"
"Furkan Korkmaz",25,"PHI",157,20.5,2.7,5.96666666666667,1.06666666666667,2.76666666666667,1.63333333333333,3.23333333333333,NA,1.63333333333333,2.03333333333333,0.966666666666667,2.33333333333333,3.3,2.1,0.7,0.366666666666667,1.4,2.3,8.1,"International",0.452513966480447,0.385542168674699,0.505154639175258,0.80327868852459,"2017-2018"
"Guerschon Yabusele",25,"BOS",157,20.5,2.7,5.96666666666667,1.06666666666667,2.76666666666667,1.63333333333333,3.23333333333333,NA,1.63333333333333,2.03333333333333,0.966666666666667,2.33333333333333,3.3,2.1,0.7,0.366666666666667,1.4,2.3,8.1,"International",0.452513966480447,0.385542168674699,0.505154639175258,0.80327868852459,"2017-2018"
"Jacob Pullen",22,"PHI",33.5844155844156,28.0094155844156,4.52056277056277,9.31147186147186,1.08852813852814,2.88766233766234,3.43452380952381,6.41883116883117,0.544707792207792,2.70974025974026,3.7202380952381,1.51287878787879,4.02045454545455,5.5254329004329,2.23041125541126,0.920021645021645,0.764718614718615,1.78214285714286,2.23874458874459,12.8406926406926,"Kansas State University",0.485483158604338,0.376958249006821,0.535069971337043,0.728378181818182,"2017-2018"
"Jamil Wilson",22,"LAC",33.5844155844156,28.0094155844156,4.52056277056277,9.31147186147186,1.08852813852814,2.88766233766234,3.43452380952381,6.41883116883117,0.544707792207792,2.70974025974026,3.7202380952381,1.51287878787879,4.02045454545455,5.5254329004329,2.23041125541126,0.920021645021645,0.764718614718615,1.78214285714286,2.23874458874459,12.8406926406926,"Marquette University",0.485483158604338,0.376958249006821,0.535069971337043,0.728378181818182,"2017-2018"
"John Holland",22,"CLE",33.5844155844156,28.0094155844156,4.52056277056277,9.31147186147186,1.08852813852814,2.88766233766234,3.43452380952381,6.41883116883117,0.544707792207792,2.70974025974026,3.7202380952381,1.51287878787879,4.02045454545455,5.5254329004329,2.23041125541126,0.920021645021645,0.764718614718615,1.78214285714286,2.23874458874459,12.8406926406926,"Boston University",0.485483158604338,0.376958249006821,0.535069971337043,0.728378181818182,"2017-2018"
"Khem Birch",22,"ORL",33.5844155844156,28.0094155844156,4.52056277056277,9.31147186147186,1.08852813852814,2.88766233766234,3.43452380952381,6.41883116883117,0.544707792207792,2.70974025974026,3.7202380952381,1.51287878787879,4.02045454545455,5.5254329004329,2.23041125541126,0.920021645021645,0.764718614718615,1.78214285714286,2.23874458874459,12.8406926406926,"University of Nevada, Las Vegas",0.485483158604338,0.376958249006821,0.535069971337043,0.728378181818182,"2017-2018"
"Mike James",22,"PHO",33.5844155844156,28.0094155844156,4.52056277056277,9.31147186147186,1.08852813852814,2.88766233766234,3.43452380952381,6.41883116883117,0.544707792207792,2.70974025974026,3.7202380952381,1.51287878787879,4.02045454545455,5.5254329004329,2.23041125541126,0.920021645021645,0.764718614718615,1.78214285714286,2.23874458874459,12.8406926406926,"Lamar University",0.485483158604338,0.376958249006821,0.535069971337043,0.728378181818182,"2017-2018"
"Terrance Ferguson",25,"OKC",157,20.5,2.7,5.96666666666667,1.06666666666667,2.76666666666667,1.63333333333333,3.23333333333333,NA,1.63333333333333,2.03333333333333,0.966666666666667,2.33333333333333,3.3,2.1,0.7,0.366666666666667,1.4,2.3,8.1,"International",0.452513966480447,0.385542168674699,0.505154639175258,0.80327868852459,"2017-2018"
"Torrey Craig",22,"DEN",33.5844155844156,28.0094155844156,4.52056277056277,9.31147186147186,1.08852813852814,2.88766233766234,3.43452380952381,6.41883116883117,0.544707792207792,2.70974025974026,3.7202380952381,1.51287878787879,4.02045454545455,5.5254329004329,2.23041125541126,0.920021645021645,0.764718614718615,1.78214285714286,2.23874458874459,12.8406926406926,"University of South Carolina Upstate",0.485483158604338,0.376958249006821,0.535069971337043,0.728378181818182,"2017-2018"
"Yakuba Ouattara",25,"BRK",157,20.5,2.7,5.96666666666667,1.06666666666667,2.76666666666667,1.63333333333333,3.23333333333333,NA,1.63333333333333,2.03333333333333,0.966666666666667,2.33333333333333,3.3,2.1,0.7,0.366666666666667,1.4,2.3,8.1,"International",0.452513966480447,0.385542168674699,0.505154639175258,0.80327868852459,"2017-2018"
"Zhou Qi",25,"HOU",157,20.5,2.7,5.96666666666667,1.06666666666667,2.76666666666667,1.63333333333333,3.23333333333333,NA,1.63333333333333,2.03333333333333,0.966666666666667,2.33333333333333,3.3,2.1,0.7,0.366666666666667,1.4,2.3,8.1,"International",0.452513966480447,0.385542168674699,0.505154639175258,0.80327868852459,"2017-2018"
"Frank Ntilikina",20,"NYK",70,12.7,1.2,2.7,0.4,1,0.8,1.8,NA,0.4,0.6,0.6,0.7,1.3,1,0.4,0.1,0.6,1.7,3.2,"Europe",0.444444444444444,0.4,0.444444444444444,0.666666666666667,"2017-2018"
"Maxi Kleber",26,"DAL",54,24.2,3.5,7.6,1,2.7,2.5,4.9,NA,2.4,3,2,4.3,6.3,1,0.9,0.9,1.4,2.8,10.5,"Europe",0.460526315789474,0.37037037037037,0.510204081632653,0.8,"2017-2018"
"Milos Teodosic",31,"LAC",347,24.6,3.4,7.6,1.8,4.6,1.6,3,NA,2.1,2.5,0.3,2,2.3,4.3,0.8,0.1,2.2,2.4,10.6,"Europe",0.447368421052632,0.391304347826087,0.533333333333333,0.84,"2017-2018"
