"Pick","Team","Player","College","Year"
"21","CHH","Ricky Davis","University of Iowa","1998"
"22","LAC","Brian Skinner","Baylor University","1998"
"23","DEN","Tyronn Lue","University of Nebraska","1998"
"24","SAS","Felipe Lopez","St. John's University","1998"
"25","IND","Al Harrington","","1998"
"26","LAL","Sam Jacobson","University of Minnesota","1998"
"27","SEA","Vladimir Stepania","","1998"
"28","CHI","Corey Benjamin","Oregon State University","1998"
"29","UTA","Nazr Mohammed","University of Kentucky","1998"
"30","DAL","Ansu Sesay","University of Mississippi","1998"
"31","LAL","Ruben Patterson","University of Cincinnati","1998"
"32","SEA","Rashard Lewis","","1998"
"33","SEA","Jelani McCoy","University of California, Los Angeles","1998"
"34","CHI","Shammond Williams","University of North Carolina","1998"
"35","DAL","Bruno Sundov","","1998"
"36","SAC","Jerome James","Florida Agricultural and Mechanical University","1998"
"37","PHI","Casey Shaw","University of Toledo","1998"
"38","NYK","DeMarco Johnson","University of North Carolina at Charlotte","1998"
"39","MIL","Rafer Alston","California State University, Fresno","1998"
"40","DET","Korleone Young","","1998"
"41","HOU","Cuttino Mobley","University of Rhode Island","1998"
"42","ORL","Miles Simon","University of Arizona","1998"
"43","WAS","Jahidi White","Georgetown University","1998"
"44","NYK","Sean Marks","University of California","1998"
"45","LAL","Toby Bailey","University of California, Los Angeles","1998"
"46","MIN","Andrae Patterson","Indiana University","1998"
"47","TOR","Tyson Wheeler","University of Rhode Island","1998"
"48","CLE","Ryan Stack","University of South Carolina","1998"
"49","ATL","Cory Carr","Texas Tech University","1998"
"50","CHH","Andrew Betts","California State University, Long Beach","1998"
"51","MIA","Corey Brewer","University of Oklahoma","1998"
"52","SAS","Derrick Dial","Eastern Michigan University","1998"
"53","DAL","Greg Buckner","Clemson University","1998"
"54","DEN","Tremaine Fowlkes","California State University, Fresno","1998"
"55","DEN","Ryan Bowen","University of Iowa","1998"
"56","VAN","J.R. Henderson","University of California, Los Angeles","1998"
"57","UTA","Torraye Braggs","Xavier University","1998"
"58","CHI","Maceo Baston","University of Michigan","1998"
"1","CHI","Elton Brand","Duke University","1999"
"2","VAN","Steve Francis","University of Maryland","1999"
"3","CHH","Baron Davis","University of California, Los Angeles","1999"
"4","LAC","Lamar Odom","University of Rhode Island","1999"
"5","TOR","Jonathan Bender","","1999"
"6","MIN","Wally Szczerbiak","Miami University","1999"
"7","WAS","Richard Hamilton","University of Connecticut","1999"
"8","CLE","Andre Miller","University of Utah","1999"
"9","PHO","Shawn Marion","University of Nevada, Las Vegas","1999"
"10","ATL","Jason Terry","University of Arizona","1999"
"11","CLE","Trajan Langdon","Duke University","1999"
"12","TOR","Aleksandar Radojevic","Barton County Community College","1999"
"13","SEA","Corey Maggette","Duke University","1999"
"14","MIN","William Avery","Duke University","1999"
"15","NYK","Frederic Weis","","1999"
"16","CHI","Metta World Peace","St. John's University","1999"
"17","ATL","Cal Bowdler","Old Dominion University","1999"
"18","DEN","James Posey","Xavier University","1999"
"19","UTA","Quincy Lewis","University of Minnesota","1999"
"20","ATL","Dion Glover","Georgia Institute of Technology","1999"
"21","GSW","Jeff Foster","Texas State University","1999"
"22","HOU","Kenny Thomas","University of New Mexico","1999"
"23","LAL","Devean George","Augsburg College","1999"
"24","UTA","Andrei Kirilenko","","1999"
"25","MIA","Tim James","University of Miami","1999"
"26","IND","Vonteego Cummings","University of Pittsburgh","1999"
"27","ATL","Jumaine Jones","University of Georgia","1999"
"28","UTA","Scott Padgett","University of Kentucky","1999"
"29","SAS","Leon Smith","","1999"
"30","LAL","John Celestand","Villanova University","1999"
"31","LAC","Rico Hill","Illinois State University","1999"
"32","CHI","Michael Ruffin","University of Tulsa","1999"
"33","DEN","Chris Herren","California State University, Fresno","1999"
"34","NJN","Evan Eschmeyer","Northwestern University","1999"
"35","WAS","Calvin Booth","Pennsylvania State University","1999"
"36","DAL","Wang Zhizhi","","1999"
"37","VAN","Obinna Ekezie","University of Maryland","1999"
"38","ORL","Laron Profit","University of Maryland","1999"
"39","CLE","A.J. Bramlett","University of Arizona","1999"
"40","DAL","Gordan Giricek","","1999"
"41","DEN","Francisco Elson","University of California","1999"
"42","MIN","Louis Bullock","University of Michigan","1999"
"43","CHH","Lee Nailon","Texas Christian University","1999"
"44","HOU","Tyrone Washington","Mississippi State University","1999"
"45","SAC","Ryan Robertson","University of Kansas","1999"
"46","NYK","J.R. Koch","University of Iowa","1999"
"47","PHI","Todd MacCulloch","University of Washington","1999"
"48","MIL","Galen Young","University of North Carolina at Charlotte","1999"
"49","CHI","Lari Ketner","University of Massachusetts Amherst","1999"
"50","HOU","Venson Hamilton","University of Nebraska","1999"
"51","VAN","Antwain Smith","Saint Paul's College","1999"
"52","POR","Roberto Bergersen","Boise State University","1999"
"53","MIA","Rodney Buford","Creighton University","1999"
"54","DET","Melvin Levett","University of Cincinnati","1999"
"55","BOS","Kris Clack","University of Texas at Austin","1999"
"56","GSW","Tim Young","Stanford University","1999"
"57","SAS","Manu Ginobili","","1999"
