"Player","Season","Tm","FGPer","FG3Per","FG2Per","effFGPer","FTPer","effMin","effFG","effFGA","eff3PM","eff3PA","eff2PM","eff2PA","effFTM","effFTA","effORB","effDRB","effTRB","effAST","effSTL","effBLK","effTOV","effPF","effPTS"
"Abdel Nader","2017-2018","BOS",0.456375838926175,0.32258064516129,0.545454545454545,0.5025,0.744186046511628,0.00603404471544715,0.143157894736842,0.313684210526316,0.0421052631578947,0.130526315789474,0.101052631578947,0.185263157894737,0.0673684210526316,0.0905263157894737,0.0294736842105263,0.134736842105263,0.166315789473684,0.0463157894736842,0.0315789473684211,0.0252631578947368,0.0736842105263158,0.0926315789473684,0.393684210526316
"Akil Mitchell","2017-2018","BRK",0.419354838709677,0.230769230769231,0.469387755102041,0.42,0.739130434782609,0.00378556910569106,0.087248322147651,0.208053691275168,0.0100671140939597,0.0436241610738255,0.0771812080536913,0.164429530201342,0.0570469798657718,0.0771812080536913,0.0604026845637584,0.114093959731544,0.174496644295302,0.0503355704697987,0.0268456375838926,0.00335570469798658,0.0604026845637584,0.114093959731544,0.24496644295302
"Alex Hamilton","2017-2018","GSW",0.466666666666667,0.279411764705882,0.534883720930233,0.505,0.71830985915493,0.00835873983739837,0.170212765957447,0.364741641337386,0.0288753799392097,0.103343465045593,0.139817629179331,0.261398176291793,0.155015197568389,0.21580547112462,0.027355623100304,0.109422492401216,0.13677811550152,0.133738601823708,0.0562310030395137,0.0121580547112462,0.0805471124620061,0.0516717325227964,0.525835866261398
"Alfonzo McKinnie","2017-2018","TOR",0.457142857142857,0.315789473684211,0.490196078431373,0.498,0.5,0.00548780487804878,0.148148148148148,0.324074074074074,0.0277777777777778,0.087962962962963,0.115740740740741,0.236111111111111,0.0462962962962963,0.0925925925925926,0.0925925925925926,0.157407407407407,0.24537037037037,0.00925925925925926,0.0231481481481481,0.0231481481481481,0.0648148148148148,0.157407407407407,0.37037037037037
"Amida Brimah","2017-2018","SAS",0.638297872340425,0,0.638297872340425,0.636666666666667,0.666666666666667,0.00609756097560976,0.125,0.195833333333333,0,0,0.125,0.195833333333333,0.0722222222222221,0.108333333333333,0.0805555555555554,0.130555555555555,0.209722222222222,0.00694444444444446,0.00972222222222221,0.122222222222222,0.0458333333333333,0.119444444444445,0.322222222222222
"Amile Jefferson","2017-2018","MIN",0.622641509433962,0,0.622641509433962,0.622,0.6,0.00647865853658537,0.129411764705882,0.207843137254902,0,0,0.129411764705882,0.207843137254902,0.0764705882352941,0.127450980392157,0.092156862745098,0.186274509803922,0.27843137254902,0.0450980392156863,0.0254901960784314,0.0509803921568627,0.0490196078431373,0.0901960784313725,0.333333333333333
"Andrew White","2017-2018","BOS",0.46031746031746,0.409722222222222,0.537037037037037,0.576,0.810810810810811,0.0084984756097561,0.17339312406577,0.376681614349776,0.0881913303437967,0.2152466367713,0.0866965620328849,0.161434977578475,0.0896860986547085,0.110612855007474,0.0298953662182362,0.127055306427504,0.15695067264574,0.0254110612855007,0.0403587443946188,0.0104633781763827,0.0478325859491779,0.070254110612855,0.524663677130045
"Antonius Cleveland","2017-2018","GSW",0.483483483483483,0.254237288135593,0.532846715328467,0.508333333333333,0.618055555555556,0.00790142276422764,0.172561629153269,0.356913183279743,0.0160771704180064,0.0632368703108254,0.156484458735263,0.293676312968917,0.0953912111468383,0.154340836012862,0.0493033226152196,0.127545551982851,0.176848874598071,0.067524115755627,0.0460878885316183,0.0214362272240086,0.0600214362272241,0.0836012861736334,0.456591639871383
"Bam Adebayo","2017-2018","MIA",0.6,0,0.608108108108108,0.599,0.661290322580645,0.00764735772357724,0.149501661129568,0.249169435215947,0,0,0.149501661129568,0.245847176079734,0.136212624584718,0.205980066445183,0.102990033222591,0.162790697674419,0.26578073089701,0.026578073089701,0.0232558139534884,0.0498338870431894,0.0564784053156146,0.0863787375415282,0.431893687707641
"Ben Moore","2017-2018","IND",0.524886877828054,0,0.522727272727273,0.515,0.682242990654205,0.00715616531165313,0.137278106508876,0.261538461538461,0,0.00118343195266272,0.136094674556213,0.260355029585798,0.0863905325443785,0.126627218934911,0.0875739644970414,0.14792899408284,0.235502958579881,0.076923076923077,0.029585798816568,0.0402366863905324,0.0568047337278106,0.0934911242603548,0.360946745562131
