"V1","V2"
260.6433478128,26.7616511008905
-39.9757100757541,414.501644042735
217.538761968767,404.213210020924
830.30059383246,41.6990464719368
-484.331904220261,-131.937931693219
87.3400459459203,-334.630921556586
257.697593100193,-160.315054542496
-108.084042273006,-729.458557011978
-247.164534513793,599.586127621915
-464.236150035704,477.045669106189
-67.2443961908283,-884.749268843273
-240.523894937141,385.832297032302
-257.77984025831,-11.1346818220702
-252.522158031513,-789.39034873526
-781.551461679026,203.110840595401
783.679704735927,113.916855136092
-673.369129696052,217.944525067439
51.233046001757,-712.010697276327
-88.121109525405,242.512382551472
-237.476961156975,182.669763154249
31.6294563572913,223.453100074132
-177.166357677711,276.908132967455
-398.635637156909,246.981432781634
-0.0252791602824155,633.017026651181
-129.974737072022,-648.690653888705
178.885056838277,-200.925690593698
379.125290405022,-213.576885904628
892.186506350171,-74.4065546310322
-26.6432685471495,-9.0504251672426
704.567168859259,210.123967290568
