"Player","Pos","Season","Age","Tm","P2Per","P3Per","FTPer","effMin","eff3PA","eff2PA","effFTA","effORB","effDRB","effTRB","effAST","effSTL","effBLK","effTOV","effPF","effPTS","x","y"
"Quincy Acy","PF","2015-2016",25,"SAC",0.606,0.388,0.735,0.222560975609756,0.0559360730593607,0.188356164383562,0.0776255707762557,0.0742009132420091,0.14041095890411,0.214611872146119,0.0308219178082192,0.0331050228310502,0.0273972602739726,0.0308219178082192,0.117579908675799,0.350456621004566,13.0102160004586,23.0485056109237
"Steven Adams","C","2015-2016",22,"OKC",0.613,0,0.582,0.511686991869919,0,0.211519364448858,0.0973187686196624,0.108738828202582,0.155908639523337,0.264647467725919,0.0307845084409136,0.0208540218470705,0.0441906653426018,0.041708043694141,0.110724925521351,0.315789473684211,-28.7496487422778,16.9826016246925
"Arron Afflalo","SG","2015-2016",30,"NYK",0.469,0.382,0.84,0.602388211382114,0.10037958667229,0.236609025727541,0.0552509489666807,0.00970054829185998,0.102488401518347,0.112188949810207,0.0607338675664277,0.0105440742302826,0.00421762969211303,0.0345845634753269,0.0598903416280051,0.383382539013075,13.1813752217988,5.08175730251221
"Alexis Ajinca","C","2015-2016",27,"NOP",0.478,0,0.839,0.21875,0.00116144018583043,0.364692218350755,0.0720092915214866,0.0871080139372822,0.225319396051103,0.312427409988386,0.0360046457607433,0.0220673635307782,0.0418118466898955,0.0627177700348432,0.155632984901278,0.408826945412311,-15.2903735817835,12.6556534136988
"Cole Aldrich","C","2015-2016",27,"LAC",0.596,0,0.714,0.203252032520325,0,0.28125,0.105,0.1075,0.2525,0.36,0.0625,0.05875,0.085,0.08,0.17375,0.41,-22.1671615766854,2.51665811299073
"LaMarcus Aldridge","PF","2015-2016",30,"SAS",0.521,0,0.858,0.574441056910569,0.0070765148164529,0.455108359133127,0.133569217160548,0.0778416629809819,0.201680672268908,0.279522335249889,0.0486510393631137,0.0168067226890756,0.0358248562582928,0.0437859354268023,0.0667846085802742,0.588677576293675,-17.7936989495866,-2.53696163832253
"Lavoy Allen","PF","2015-2016",26,"IND",0.516,0,0.63,0.40625,0,0.231394621638524,0.0456535334584115,0.101313320825516,0.163852407754847,0.265165728580363,0.0475297060662914,0.016260162601626,0.026266416510319,0.0431519699812383,0.0919324577861163,0.267667292057536,-19.8034575015711,22.5234929239453
"Tony Allen","SG","2015-2016",34,"MEM",0.468,0.357,0.652,0.411585365853659,0.0259259259259259,0.26358024691358,0.0851851851851852,0.0641975308641975,0.118518518518519,0.182716049382716,0.0432098765432099,0.0679012345679012,0.0111111111111111,0.0481481481481481,0.108024691358025,0.330246913580247,1.2008565016336,7.30700231807835
"Al-Farouq Aminu","SF","2015-2016",25,"POR",0.468,0.361,0.737,0.594766260162602,0.149081589064502,0.158052114480991,0.0666381888082016,0.0418624519436138,0.171294318667236,0.21315677061085,0.0589491670226399,0.0307560871422469,0.0226398974797095,0.0512601452370782,0.0730457069628364,0.358393848782572,20.2897073130818,12.3064986056197
"James Anderson","SG","2015-2016",26,"SAC",0.478,0.267,0.759,0.183180894308943,0.119278779472954,0.127600554785021,0.0402219140083218,0.0180305131761442,0.10124826629681,0.119278779472954,0.0568654646324549,0.029126213592233,0.0194174757281553,0.058252427184466,0.0748959778085992,0.248266296809986,14.8957763948852,3.23508229050578
