Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season
253,Bernard Toone,PF,23,PHI,23,,124,23,64,0.359,1,7,0.143,22,57,0.386,0.367,8,10,0.8,12,22,34,12,4,5,16,20,55,1979-1980
254,Raymond Townsend,SG,24,GSW,75,,1159,171,421,0.406,4,26,0.154,167,395,0.423,0.411,60,84,0.714,33,56,89,116,60,4,65,113,406,1979-1980
255,Dave Twardzik,PG,29,POR,67,,1594,183,394,0.464,4,7,0.571,179,387,0.463,0.47,197,252,0.782,52,104,156,273,77,1,131,149,567,1979-1980
256,Terry Tyler,SF,23,DET,82,,2670,430,925,0.465,2,12,0.167,428,913,0.469,0.466,143,187,0.765,228,399,627,129,107,220,175,237,1005,1979-1980
257,Wes Unseld*,C,33,WSB,82,,2973,327,637,0.513,1,2,0.5,326,635,0.513,0.514,139,209,0.665,334,760,1094,366,65,61,153,249,794,1979-1980
258,Jan Van Breda Kolff,SF,28,NJN,82,,2399,212,458,0.463,7,20,0.35,205,438,0.468,0.471,130,155,0.839,103,326,429,247,100,76,158,307,561,1979-1980
259,Andre Wakefield,SG,25,UTA,8,,47,6,15,0.4,0,0,,6,15,0.4,0.4,3,3,1,0,4,4,3,1,0,8,13,15,1979-1980
260,Foots Walker,PG,28,CLE,76,,2422,258,568,0.454,1,9,0.111,257,559,0.46,0.455,195,243,0.802,78,209,287,607,155,12,157,202,712,1979-1980
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1979-1980
261,Wally Walker,SF,25,SEA,70,,844,139,274,0.507,0,0,,139,274,0.507,0.507,48,64,0.75,64,106,170,53,21,4,50,102,326,1979-1980
262,Bill Walton*,C,27,SDC,14,,337,81,161,0.503,0,0,,81,161,0.503,0.503,32,54,0.593,28,98,126,34,8,38,37,37,194,1979-1980
263,Lloyd Walton,PG,26,MIL,76,,1243,110,242,0.455,1,3,0.333,109,239,0.456,0.457,49,71,0.69,33,58,91,285,43,2,112,68,270,1979-1980
264,Kermit Washington,PF,28,POR,80,,2657,421,761,0.553,0,3,0,421,758,0.555,0.553,231,360,0.642,325,517,842,167,73,131,170,307,1073,1979-1980
265,Richard Washington,PF,24,MIL,75,,1092,197,421,0.468,0,0,,197,421,0.468,0.468,46,76,0.605,95,181,276,55,26,48,63,166,440,1979-1980
