Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season
280,Sly Williams,SF,22,NYK,57,,556,104,267,0.39,0,4,0,104,263,0.395,0.39,58,90,0.644,65,56,121,36,19,8,49,73,266,1979-1980
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1979-1980
281,John Williamson,SG,28,TOT,58,,1374,359,817,0.439,11,35,0.314,348,782,0.445,0.446,116,138,0.841,38,61,99,126,36,19,92,137,845,1979-1980
281,John Williamson,SG,28,NJN,28,,771,206,461,0.447,8,19,0.421,198,442,0.448,0.456,76,88,0.864,24,30,54,87,26,9,43,71,496,1979-1980
281,John Williamson,SG,28,WSB,30,,603,153,356,0.43,3,16,0.188,150,340,0.441,0.434,40,50,0.8,14,31,45,39,10,10,49,66,349,1979-1980
282,Bill Willoughby,SF,22,CLE,78,,1447,219,457,0.479,1,9,0.111,218,448,0.487,0.48,96,127,0.756,122,207,329,72,32,62,68,189,535,1979-1980
283,Bubba Wilson,SG,24,GSW,16,,143,7,25,0.28,0,0,,7,25,0.28,0.28,3,6,0.5,6,10,16,12,2,0,8,11,17,1979-1980
284,Rick Wilson,SG,23,ATL,5,,59,2,14,0.143,0,0,,2,14,0.143,0.143,4,6,0.667,2,1,3,11,4,1,8,3,8,1979-1980
285,Brian Winters,SG,27,MIL,80,,2623,535,1116,0.479,38,102,0.373,497,1014,0.49,0.496,184,214,0.86,48,175,223,362,101,28,186,208,1292,1979-1980
286,Larry Wright,PG,25,WSB,76,,1286,229,500,0.458,4,16,0.25,225,484,0.465,0.462,96,108,0.889,40,82,122,222,49,18,108,144,558,1979-1980
287,Tony Zeno,SF,22,IND,8,,59,6,21,0.286,0,0,,6,21,0.286,0.286,2,2,1,3,11,14,1,4,3,9,13,14,1979-1980
