"Player","Pos","Season","Age","FGPer","FG3Per","FG2Per","effFGPer","FTPer","effMin","effFG","effFGA","eff3PM","eff3PA","eff2PM","eff2PA","effFTM","effFTA","effORB","effDRB","effTRB","effAST","effSTL","effBLK","effTOV","effPF","effPTS","Tm"
"A.J. Hammons","C","2017-2018",25,0.419842105263158,0.320017543859649,0.465140350877193,0.483631578947368,0.715614035087719,0.00480227499643418,0.14692778912196,0.337571932429924,0.0449229626879525,0.126044180434379,0.102190458511231,0.210970855763876,0.0567105995916094,0.0763875997772415,0.0360126229812512,0.126415444588825,0.162149619454242,0.0670131798774828,0.0301652125487284,0.0166140709114535,0.0422312975682198,0.07629478373863,0.394468164098756,"MIA"
"Aaron Brooks","PG","2017-2018",33,0.404995049504951,0.387061403508772,0.426858426966292,0.476975051975052,0.830275229357798,0.00223445595854922,0.139556924535008,0.313012384440956,0.0483912555663185,0.134910023718053,0.0888278388278388,0.196811594202899,0.0336650475851992,0.0412273427319038,0.0170554966419229,0.0674108500195457,0.0907572789694138,0.139788188163212,0.0227406621892306,0.00579311992355471,0.0648829431438127,0.0925482762705841,0.334532277275694,"MIN"
"Aaron Gordon","SF","2017-2018",22,0.459032019704434,0.288,0.537177074976859,0.516803093768372,0.727259958417493,0.00741154667989319,0.177724749707508,0.385629285171913,0.0348432055749129,0.140919740478193,0.141202392875784,0.254551537346571,0.069566701538912,0.09411569764214,0.04963767692005,0.124430525730103,0.177200262822091,0.0710525949385293,0.0312768830639354,0.0183602147272036,0.0405581840037159,0.0731978472399752,0.452486478383525,"ORL"
"Abdel Nader",NA,"2017-2018",NA,0.456375838926175,0.32258064516129,0.545454545454545,0.5025,0.744186046511628,0.00603404471544715,0.143157894736842,0.313684210526316,0.0421052631578947,0.130526315789474,0.101052631578947,0.185263157894737,0.0673684210526316,0.0905263157894737,0.0294736842105263,0.134736842105263,0.166315789473684,0.0463157894736842,0.0315789473684211,0.0252631578947368,0.0736842105263158,0.0926315789473684,0.393684210526316,"BOS"
"Akil Mitchell",NA,"2017-2018",NA,0.419354838709677,0.230769230769231,0.469387755102041,0.42,0.739130434782609,0.00378556910569106,0.087248322147651,0.208053691275168,0.0100671140939597,0.0436241610738255,0.0771812080536913,0.164429530201342,0.0570469798657718,0.0771812080536913,0.0604026845637584,0.114093959731544,0.174496644295302,0.0503355704697987,0.0268456375838926,0.00335570469798658,0.0604026845637584,0.114093959731544,0.24496644295302,"BRK"
"Al Horford","C","2017-2018",31,0.488654846335697,0.372057057057057,0.538341052631579,0.561348230912477,0.796068796068796,0.00779051490514905,0.187733860092309,0.382074030085127,0.0800808200275971,0.180997147528438,0.138813793375134,0.24901533332112,0.0506469794395491,0.0634030741121032,0.0412183165949307,0.176559225563005,0.216677269922666,0.151642403882046,0.0233711213017063,0.0402476780185759,0.050484283625731,0.0608622950565268,0.476287756160118,"BOS"
"Al Jefferson","C","2017-2018",33,0.488979919678715,0,0.488071570576541,0.48902,0.761361474435196,0.00331417956769388,0.201567749160134,0.445559224861755,0,0,0.201567749160134,0.417029491497577,0.0580757655742163,0.0718464750113026,0.0684287311802475,0.220969118152171,0.284338948251363,0.0717028392514054,0.0196196033383822,0.01464381083642,0.034262986390646,0.144710803033707,0.508376912121245,"IND"
"Al-Farouq Aminu","SF","2017-2018",27,0.385285219399538,0.360813532565798,0.452777867965368,0.494826871030354,0.71986962284914,0.00675930867347494,0.104791178605018,0.27169151547752,0.0560981409002853,0.145029530817532,0.055694702293659,0.133639827462853,0.0634931008866703,0.0810184941839679,0.0449893453179333,0.223677198630923,0.26783008905557,0.048066882687263,0.0346398602174512,0.0258007609408615,0.0506080555549825,0.0525621890010339,0.324004020494168,"POR"
"Alan Williams","C","2017-2018",25,0.419842105263158,0.320017543859649,0.465140350877193,0.483631578947368,0.715614035087719,0.00480227499643418,0.14692778912196,0.337571932429924,0.0449229626879525,0.126044180434379,0.102190458511231,0.210970855763876,0.0567105995916094,0.0763875997772415,0.0360126229812512,0.126415444588825,0.162149619454242,0.0670131798774828,0.0301652125487284,0.0166140709114535,0.0422312975682198,0.07629478373863,0.394468164098756,"PHO"
"Alec Burks","SG","2017-2018",26,0.401382023553292,0.353434723563496,0.433685012785184,0.454912587412587,0.739742435945897,0.00410884049273425,0.154885266081038,0.383056574548127,0.0481860290820182,0.131844901775937,0.118301697944396,0.268441662855387,0.0927364761544802,0.131044637794168,0.02386146250037,0.164917441566281,0.181928880331686,0.0485173946919816,0.0211391569685166,0.00707520390661863,0.0512520896656728,0.0771354442942369,0.439063739231856,"UTA"
"Alex Abrines","SG","2017-2018",24,0.377774818401937,0.350289672544081,0.416596026490066,0.498906593406593,0.91195197740113,0.00379260475297061,0.126008064516129,0.333281176654671,0.0743833017077799,0.216083229732382,0.0461465119974575,0.101204819277108,0.0398665183537264,0.0442961315041404,0.021357063403782,0.0711902113459399,0.0891195979071396,0.0374423963133641,0.0240963855421687,0.00432027649769585,0.0309182726991652,0.117511520737327,0.34878678757942,"OKC"
"Alex Len","C","2017-2018",24,0.54761099796334,0.25,0.550663306451613,0.55091649694501,0.762552959501558,0.00547421016973328,0.150726209686155,0.288955232238668,0,0.00936105051789145,0.137652875357793,0.283949266085623,0.106707576014948,0.14346186512655,0.112925033288675,0.240178316980825,0.348277730378083,0.0322320366910141,0.0234026262947286,0.0541923395668937,0.0603346496763425,0.138774649372561,0.397535361200324,"PHO"
"Alexis Ajinca","C","2017-2018",29,0.482007575757576,0,0.493677966101695,0.482986767485822,0.708333333333333,0.003168833199321,0.126040592783505,0.292806026365348,0,0.00666666666666667,0.126040592783505,0.286440677966102,0.0363151075408137,0.0534508076358297,0.0649484536082474,0.250482334869432,0.302258251302837,0.0147770700636943,0.0429203539823009,0.0381920903954802,0.0476288659793815,0.157522580645161,0.319892347716875,"NOP"
"Alfonzo McKinnie",NA,"2017-2018",NA,0.457142857142857,0.315789473684211,0.490196078431373,0.498,0.5,0.00548780487804878,0.148148148148148,0.324074074074074,0.0277777777777778,0.087962962962963,0.115740740740741,0.236111111111111,0.0462962962962963,0.0925925925925926,0.0925925925925926,0.157407407407407,0.24537037037037,0.00925925925925926,0.0231481481481481,0.0231481481481481,0.0648148148148148,0.157407407407407,0.37037037037037,"TOR"
"Allen Crabbe","SG","2017-2018",25,0.465480042956864,0.414417050691244,0.500111111111111,0.577648707971665,0.812999314083957,0.00652835635015831,0.128635288734527,0.271421049115839,0.0573743681236991,0.129874966312711,0.0746731167081064,0.149372424427448,0.0415617377561921,0.052962032759499,0.00719016014348273,0.10862802377877,0.115197325397994,0.0450061975226547,0.0218651143777857,0.0102184522750503,0.0262752083905944,0.0841113404426098,0.352570097762893,"BRK"
"Amida Brimah",NA,"2017-2018",NA,0.638297872340425,0,0.638297872340425,0.636666666666667,0.666666666666667,0.00609756097560976,0.125,0.195833333333333,0,0,0.125,0.195833333333333,0.0722222222222221,0.108333333333333,0.0805555555555554,0.130555555555555,0.209722222222222,0.00694444444444446,0.00972222222222221,0.122222222222222,0.0458333333333333,0.119444444444445,0.322222222222222,"SAS"
"Amile Jefferson",NA,"2017-2018",NA,0.622641509433962,0,0.622641509433962,0.622,0.6,0.00647865853658537,0.129411764705882,0.207843137254902,0,0,0.129411764705882,0.207843137254902,0.0764705882352941,0.127450980392157,0.092156862745098,0.186274509803922,0.27843137254902,0.0450980392156863,0.0254901960784314,0.0509803921568627,0.0490196078431373,0.0901960784313725,0.333333333333333,"MIN"
"Amir Johnson","PF","2017-2018",30,0.552764331210191,0.0907729591836734,0.602904458598726,0.583594936708861,0.637083993660856,0.00418420535011802,0.139225831578603,0.247616110035357,0.0149253731343284,0.0567532706836189,0.118645772327424,0.20133241836793,0.0344573429150544,0.0600227340120589,0.0742484332899398,0.16841537431036,0.234192471036038,0.0758181903310218,0.0342987051497479,0.0326654334759504,0.0496591118481666,0.132612527911623,0.328471250702648,"PHI"
"Andre Drummond","C","2017-2018",24,0.520148698884758,0.286,0.521321167883212,0.523147874306839,0.420653366583541,0.00785420501610676,0.189029535864979,0.393811533052039,0,0.00336700336700337,0.185981756450585,0.393811533052039,0.0704572156611431,0.142446305822642,0.143768689223235,0.341486239839855,0.482801359492482,0.0370057066129574,0.0492562992562993,0.0336230084833437,0.0635256998893362,0.0896983836616383,0.446319737458978,"DET"
"Andre Iguodala","SF","2017-2018",34,0.537333333333333,0.391176119402985,0.65844,0.63228431372549,0.627270303030303,0.00528337114766496,0.122022478192798,0.218081829489851,0.0352642958324014,0.0927140829693139,0.0692607181075112,0.101389995674051,0.0154567530434227,0.0294183430473509,0.0269347237084766,0.142820398121226,0.17180953328995,0.126339440027653,0.0500300180108065,0.0384781767263951,0.0285885817204608,0.0541787817788712,0.304967034968629,"GSW"
"Andre Roberson","SF","2017-2018",26,0.449245460048426,0.244072418733544,0.58287189171123,0.512512655619978,0.418828033536585,0.00732053380402225,0.0871145279838139,0.201271628139714,0.0224649923228239,0.0863639028612419,0.0666764821498549,0.11113759138936,0.0183879283232808,0.0447759463362657,0.0322796647348126,0.119320457922126,0.166628310415923,0.0374007217549991,0.0349420549117212,0.0317515498359952,0.0203944869476241,0.0771081454132106,0.215646159112052,"OKC"
"Andrew Harrison","PG","2017-2018",23,0.335680751173709,0.2944,0.36380487804878,0.390379241516966,0.787890840652447,0.00517995004541326,0.0830156489774741,0.254950284694485,0.0269203966764942,0.0936943753111001,0.0545366693977017,0.151564800436415,0.124938551711099,0.156794425087108,0.0134856437171967,0.0905497442751035,0.102613240418118,0.129242066614215,0.0407962617832158,0.0146341463414634,0.0565198210121636,0.131236933797909,0.303498080887926,"MEM"
"Andrew White",NA,"2017-2018",NA,0.46031746031746,0.409722222222222,0.537037037037037,0.576,0.810810810810811,0.0084984756097561,0.17339312406577,0.376681614349776,0.0881913303437967,0.2152466367713,0.0866965620328849,0.161434977578475,0.0896860986547085,0.110612855007474,0.0298953662182362,0.127055306427504,0.15695067264574,0.0254110612855007,0.0403587443946188,0.0104633781763827,0.0478325859491779,0.070254110612855,0.524663677130045,"BOS"
"Andrew Wiggins","SF","2017-2018",22,0.443773659092808,0.348188087774295,0.459616621914696,0.48005290459881,0.777014001953761,0.00968610729589518,0.224648812410265,0.519286053981343,0.0376724089399313,0.0959491110401363,0.19182053832788,0.423681522985247,0.142185185985107,0.18587443497093,0.030539393339489,0.0803318205990387,0.103347209604401,0.0614548844006987,0.0281152165232598,0.0111278141692823,0.0658767537815307,0.0578233625547215,0.620487924660095,"MIN"
"Ante Zizic",NA,"2017-2018",NA,0.642857142857143,0,0.642857142857143,0.649,0.642857142857143,0.0055640243902439,0.164383561643836,0.255707762557078,0,0,0.164383561643836,0.255707762557078,0.0821917808219178,0.127853881278539,0.141552511415525,0.164383561643836,0.305936073059361,0.0182648401826484,0.0091324200913242,0.0365296803652968,0.0593607305936073,0.091324200913242,0.410958904109589,"CLE"
"Anthony Davis","C","2017-2018",24,0.504260846499974,0.299,0.513205413768804,0.507220472440945,0.816679978238662,0.00996149254330689,0.276477243786549,0.535654480001857,0.0138504155124654,0.0446387407606244,0.272596299996291,0.477916089556512,0.195713469185083,0.236901758628535,0.0565883259405739,0.265974384395437,0.31455817858323,0.0695330123000507,0.0346505957008185,0.0554751390552327,0.0664755859390646,0.0547185005119315,0.777197575887655,"NOP"
"Anthony Morrow","SG","2017-2018",32,0.371029891304348,0.278172631578947,0.475820796460177,0.442259696458685,0.925740831295844,0.00357687282229965,0.123870591664238,0.333680550878595,0.0393396557780119,0.146209777849195,0.0906214039125432,0.182945391097747,0.0463645943097998,0.0523908733371475,0.0136014767317594,0.0294266869609335,0.0451248992747784,0.0340036918293986,0.0342353506373388,0,0.00651526433358154,0.0544059069270378,0.344209150420293,"POR"
"Anthony Tolliver","PF","2017-2018",32,0.440851948051948,0.33235,0.574435096153846,0.539532293986637,0.705057851239669,0.00516206840309144,0.107816726375152,0.245941491086267,0.037046503585873,0.122253461833381,0.0519058154637232,0.101612986167058,0.0322152099761093,0.0439883032052256,0.0412564003986552,0.118628067967275,0.159308935516975,0.0566003341941364,0.0246088409539724,0.0134230041567122,0.0442959137171502,0.0769372167464266,0.320381734345806,"DET"
"Archie Goodwin","SG","2017-2018",23,0.551442080378251,0.334839779005525,0.600137931034483,0.589268817204301,0.819827848101266,0.00390862809694448,0.179010993468825,0.348690715476064,0.0227808354377917,0.0775589238928503,0.140734265734266,0.233753877433986,0.202878992352677,0.241869399764137,0.030445744731459,0.0938661848139111,0.126712289977596,0.106812582583508,0.0230009401280119,0.0186688311688312,0.0587044534412955,0.0313079947295988,0.58797714447973,"POR"
"Aron Baynes","C","2017-2018",31,0.474873104165063,0,0.485319704489059,0.470315668202765,0.831871710994169,0.00345027877714322,0.113139707719348,0.244588818110239,0,0,0.113139707719348,0.242237006269748,0.0573472627657253,0.0656660036342986,0.0945757324551375,0.177422719063955,0.254113874283621,0.0234845991182397,0.013544121059244,0.0413754006683489,0.0398576489566251,0.169187958172038,0.276991122780695,"BOS"
"Arron Afflalo","SG","2017-2018",32,0.412960947363838,0.343831281455672,0.458794801209772,0.476098971782167,0.875803186854706,0.00748593141102662,0.119929541548394,0.27805454805329,0.0471231969037659,0.118063110090318,0.0743300163506535,0.161754736914504,0.0552009486792095,0.0588600533435447,0.00295242942758471,0.0695233266954578,0.070942478729364,0.0498268417154616,0.00934777177013202,0.00394533186509564,0.02867929742065,0.0640425696326318,0.351084754898314,"ORL"
"Austin Rivers","SG","2017-2018",25,0.4260625,0.348722863741339,0.4748861003861,0.493426944971537,0.706621010638298,0.00708220108695652,0.150880730136121,0.356045972773325,0.0558376827949405,0.171770712462288,0.0987136072392086,0.209792292541389,0.088450668036999,0.119578622816033,0.0126957257723233,0.0899713400011698,0.107425371919659,0.0985689679393936,0.0200651978417266,0.00348974551701922,0.0557098080502599,0.0779919051184392,0.423272359483621,"LAC"
"Avery Bradley","SG","2017-2018",27,0.478582702453261,0.422945367630321,0.530958186932181,0.552501387479258,0.725913578722003,0.00732775917153574,0.204558981434902,0.44128011566326,0.0661244432255083,0.176146858107365,0.149538284714688,0.282559061876021,0.0429053159064162,0.0653436704257225,0.0336876456292436,0.133913298896279,0.1729207854133,0.0717558361537794,0.0392674803065624,0.00471781627584526,0.0517182650041618,0.0868970644093036,0.528109441312017,"DET"
"Bam Adebayo",NA,"2017-2018",NA,0.6,0,0.608108108108108,0.599,0.661290322580645,0.00764735772357724,0.149501661129568,0.249169435215947,0,0,0.149501661129568,0.245847176079734,0.136212624584718,0.205980066445183,0.102990033222591,0.162790697674419,0.26578073089701,0.026578073089701,0.0232558139534884,0.0498338870431894,0.0564784053156146,0.0863787375415282,0.431893687707641,"MIA"
"Ben McLemore","SG","2017-2018",24,0.430999625549974,0.375615900542095,0.459019893250047,0.513877775548422,0.784406047065372,0.00597442039384502,0.157831307479836,0.350645683988895,0.0587235528936481,0.151545519695873,0.10281881633044,0.20757919665496,0.0532616961380699,0.0689069088706443,0.0140253205689048,0.095779986157633,0.106282392309585,0.0507659168175163,0.0238787422316192,0.00529033988966581,0.0496262362942504,0.0848650802612604,0.418772605601486,"MEM"
"Ben Moore",NA,"2017-2018",NA,0.524886877828054,0,0.522727272727273,0.515,0.682242990654205,0.00715616531165313,0.137278106508876,0.261538461538461,0,0.00118343195266272,0.136094674556213,0.260355029585798,0.0863905325443785,0.126627218934911,0.0875739644970414,0.14792899408284,0.235502958579881,0.076923076923077,0.029585798816568,0.0402366863905324,0.0568047337278106,0.0934911242603548,0.360946745562131,"IND"
"Ben Simmons",NA,"2017-2018",NA,0.555555555555556,0,0.560344827586207,0.561,0.666666666666667,0.00886686991869919,0.186246418338109,0.335243553008596,0,0.00286532951289398,0.186246418338109,0.332378223495702,0.171919770773639,0.257879656160458,0.0888252148997135,0.246418338108883,0.33810888252149,0.137535816618911,0.0573065902578797,0.0229226361031519,0.0974212034383954,0.0802292263610315,0.550143266475645,"PHI"
"Beno Udrih","PG","2017-2018",35,0.470713717693837,0.333813211845102,0.501209829867675,0.498498233215548,0.946042872454448,0.00357142857142857,0.182506307821699,0.384888653234358,0.0213414634146341,0.0620842572062084,0.159812819058423,0.31335514574658,0.0569105691056911,0.0640243902439024,0.018970189701897,0.0957825203252032,0.117378048780488,0.274285474813511,0.0152439024390244,0,0.067790530846485,0.0431571815718157,0.433625912692248,"DET"
"Bismack Biyombo","C","2017-2018",25,0.541866666666667,0,0.541866666666667,0.541866666666667,0.535655813953488,0.00663151577503429,0.0935148466781893,0.159015281942079,0,0,0.0935148466781893,0.159015281942079,0.0759049080180108,0.146749488834821,0.0817501385827177,0.275798986114172,0.34719157937796,0.0431007299730399,0.0161695712007527,0.0536364639664496,0.0475113122171946,0.107389024175251,0.257899131920844,"ORL"
"Blake Griffin","PF","2017-2018",28,0.495963927855711,0.575425149700599,0.51501581027668,0.515043824701195,0.754864864864865,0.00835319425529281,0.226666225048578,0.440616170484476,0.0176470588235294,0.0346734599351552,0.209491479880875,0.393754731040792,0.157760491753933,0.2042406592498,0.0546408337413443,0.184584691349631,0.240146192579049,0.151664348171701,0.0307555454614278,0.0110404522169228,0.0677783569123852,0.076814019020782,0.621674676775198,"LAC"
"Boban Marjanovic","C","2017-2018",29,0.430838709677419,0.29058064516129,0.48558064516129,0.495677419354839,0.701903225806452,0.00510178992918961,0.147951807228916,0.335261044176707,0.0488353413654618,0.136546184738956,0.0984738955823293,0.198714859437751,0.0583132530120482,0.0756626506024096,0.0401606425702811,0.133333333333333,0.173493975903614,0.0835341365461847,0.0314859437751004,0.0155823293172691,0.0525301204819277,0.0861044176706827,0.402570281124498,"DET"
"Bobby Brown","PG","2017-2018",33,0.425111111111111,0.220333333333333,0.583666666666667,0.487111111111111,0.692222222222222,0.00390695573622403,0.113439306358381,0.251445086705202,0.036849710982659,0.113439306358381,0.0758670520231214,0.136560693641618,0.0491329479768786,0.0621387283236994,0.0267341040462428,0.117774566473988,0.14378612716763,0.114161849710983,0.0375722543352601,0.013728323699422,0.0513005780346821,0.0838150289017341,0.312138728323699,"HOU"
"Bobby Portis","PF","2017-2018",22,0.519767076988314,0.333,0.566897103830749,0.565566225165563,0.670943299312551,0.00385275754282082,0.216916890210707,0.406969245347523,0.0320512820512821,0.0961538461538462,0.175884475225103,0.307157264830237,0.0435284543856053,0.0626568179249985,0.0704974188643871,0.195924764834455,0.252162822598257,0.0283357993451042,0.0185232069759509,0.0113202234458511,0.042490856435934,0.0946713535172757,0.49703720373955,"CHI"
"Bogdan Bogdanovic",NA,"2017-2018",NA,0.42,0.36734693877551,0.461538461538462,0.509,0.769230769230769,0.00713922764227642,0.149466192170818,0.355871886120996,0.0640569395017794,0.174377224199288,0.0854092526690391,0.185053380782918,0.0711743772241993,0.0925266903914591,0.0213523131672598,0.096085409252669,0.117437722419929,0.110320284697509,0.0391459074733096,0.0106761565836299,0.0711743772241993,0.0782918149466192,0.434163701067616,"SAC"
"Bojan Bogdanovic","SF","2017-2018",28,0.436890660592255,0.336416666666667,0.503191397849462,0.532319474835886,0.831261728395062,0.00592207884288145,0.175446195457313,0.382268840183021,0.0664608357299949,0.193782409814377,0.115224420452677,0.223534566150029,0.0890035280371181,0.103652355883988,0.0221338746968928,0.128703980844059,0.138583903499896,0.057157174861455,0.0156773965334277,0.00419545250006617,0.0585271387329879,0.0724062846197085,0.517774315566018,"IND"
"Bradley Beal","SG","2017-2018",24,0.483184275184275,0.426151436031332,0.541215139442231,0.572008492569002,0.84364406779661,0.00940354888746256,0.239785327693637,0.490366316938478,0.112231607933614,0.230485846531692,0.149356627252174,0.280904097425428,0.100968754263883,0.112898291574208,0.0212925072893647,0.0730028821349646,0.0902992065241349,0.111064736438144,0.0308573947542429,0.0101317482776028,0.0582723124270402,0.0622290794210565,0.673285151086609,"WAS"
"Brandan Wright","PF","2017-2018",30,0.552224880382775,0,0.55581658692185,0.552224880382775,0.591668067226891,0.00378274616079494,0.179782082324455,0.287844979448033,0,0,0.179782082324455,0.287844979448033,0.0497273718647765,0.0735271013354281,0.059816384180791,0.103339694656489,0.158567796610169,0.0462239583333333,0.0239709443099274,0.0396990740740741,0.025,0.0901413982717989,0.410297190619921,"MEM"
"Brandon Ashley",NA,"2017-2018",NA,0.517647058823529,0.333333333333333,0.539473684210526,0.533,0.711111111111111,0.0070630081300813,0.158273381294964,0.305755395683453,0.0107913669064748,0.0323741007194245,0.147482014388489,0.273381294964029,0.115107913669065,0.161870503597122,0.0647482014388489,0.122302158273381,0.18705035971223,0.0251798561151079,0.0215827338129496,0.0251798561151079,0.0503597122302158,0.100719424460432,0.438848920863309,"DAL"
"Brandon Ingram","SF","2017-2018",20,0.391831288433097,0.286217589576547,0.430311254205214,0.42964295360367,0.636698942972074,0.00855019331289473,0.133164665789794,0.325940042662324,0.0205306115014733,0.0802902621722846,0.102942143395143,0.238602638310787,0.0605677543665825,0.0940009026778372,0.0252319948476703,0.103829341231685,0.129753495256835,0.0808961942103621,0.0235806128757323,0.0170070845086354,0.0473595472053531,0.0676743507207636,0.349658360168897,"LAL"
"Brandon Knight","SG","2017-2018",26,0.40005684754522,0.31104,0.424022988505747,0.434430167597765,0.803162820512821,0.00536077235772358,0.194532052605851,0.480377016880558,0.034684391059343,0.11409513779182,0.146418525796632,0.343092915233033,0.0977635031921977,0.12450742851057,0.0227762151239206,0.0887809590954787,0.115812149935373,0.120769503228452,0.0204236600246131,0.00375137813032459,0.0812085850315052,0.0820542414777304,0.526392456156674,"PHO"
"Brandon Paul",NA,"2017-2018",NA,0.480216592535293,0.374650455927052,0.529835069690862,0.540548387096774,0.721353228092938,0.0071011861832328,0.15921776067965,0.331554059469424,0.0395159092730624,0.105474072293019,0.119672998316903,0.225868397852048,0.0962474953915205,0.133426304400096,0.0522016510379098,0.138312094253426,0.190260479281879,0.0765985413160215,0.0319147230904865,0.0241147711789693,0.0644930672437283,0.0807245331409793,0.45386551254308,"SAS"
"Brandon Rush","SG","2017-2018",32,0.366392116679986,0.385543003266233,0.358672269752133,0.485256214898341,0.735801760244748,0.00457264568151318,0.0689005409206682,0.176546675474703,0.038736572775708,0.0991088967901327,0.030875912510468,0.0762892932605348,0.0128467111966489,0.0164450963042067,0.0114031269171286,0.0908543802865877,0.094464416208316,0.0474978397883782,0.0214114295760086,0.0239152062447387,0.0346418010805753,0.0442510703016901,0.187877443110684,"MIL"
"Briante Weber","PG","2017-2018",25,0.419842105263158,0.320017543859649,0.465140350877193,0.483631578947368,0.715614035087719,0.00480227499643418,0.14692778912196,0.337571932429924,0.0449229626879525,0.126044180434379,0.102190458511231,0.210970855763876,0.0567105995916094,0.0763875997772415,0.0360126229812512,0.126415444588825,0.162149619454242,0.0670131798774828,0.0301652125487284,0.0166140709114535,0.0422312975682198,0.07629478373863,0.394468164098756,"LAL"
"Brice Johnson","PF","2017-2018",23,0.436016393442623,0.301786885245902,0.481196721311475,0.493950819672131,0.699147540983607,0.00449986671997868,0.156608663457979,0.34292854498334,0.0412810070344317,0.117086264346538,0.115420214735283,0.22611995557201,0.0631247686042207,0.0837652721214365,0.0429470566456868,0.126434653831914,0.169011477230655,0.0744168826360607,0.0302665679378008,0.0185116623472788,0.0507219548315439,0.0843206219918549,0.416790077748982,"LAC"
"Brook Lopez","C","2017-2018",29,0.468690427698574,0.346,0.523614974299292,0.529793006255455,0.809925182290063,0.00709431977698282,0.249189048831413,0.524965842263062,0.0608108108108108,0.203718671360624,0.182273721918659,0.348962927951642,0.114550658649652,0.138658586576938,0.0536154349407664,0.120022133027235,0.172752476036393,0.0658369641192917,0.0165021000375862,0.0570911721189337,0.0775845352184867,0.081988582483868,0.672200465805131,"LAL"
"Bruno Caboclo","SF","2017-2018",22,0.433259259259259,0.255759259259259,0.474574074074074,0.478444444444444,0.647444444444444,0.00436897771755495,0.148395433986647,0.325651518414818,0.0263838035752746,0.0821667025629981,0.122442386388111,0.243807882834374,0.0757053629119104,0.107042860219686,0.0478139134180487,0.142472539306483,0.189963385741977,0.0856127503769115,0.0353219900926125,0.0285375834589705,0.0626749946155503,0.0983200516907172,0.398341589489554,"TOR"
"Bryce Alford",NA,"2017-2018",NA,0.407303370786517,0.399014778325123,0.421052631578947,0.524666666666667,0.833333333333333,0.00893462059620597,0.137440758293839,0.337440758293839,0.0767772511848341,0.192417061611374,0.0606635071090046,0.144075829383886,0.0947867298578197,0.113744075829384,0.00758293838862559,0.0824644549763032,0.0900473933649289,0.120379146919431,0.0199052132701422,0.000947867298578197,0.0521327014218008,0.0398104265402843,0.445497630331754,"OKC"
"Bryn Forbes","SG","2017-2018",24,0.46919298245614,0.243421052631579,0.510982456140351,0.510438596491228,0.614087719298246,0.00450631151048353,0.154401582591494,0.326211671612265,0.0303659742828882,0.0902077151335312,0.124727992087043,0.236102868447082,0.061028684470821,0.0864490603363007,0.0492581602373887,0.132245301681503,0.181305637982196,0.0735905044510386,0.0300692383778437,0.0281899109792285,0.0484668644906034,0.0897131552917903,0.4,"SAS"
"Buddy Hield","SG","2017-2018",24,0.427046683046683,0.391,0.46400652173913,0.528552016985138,0.860933862433862,0.00595458901357074,0.166480862133036,0.402492264283718,0.0835000909587048,0.204497907949791,0.092644243915778,0.193252104453669,0.0339055687056185,0.041191904047976,0.0176273854023215,0.109373675735232,0.12762058124377,0.0707979343661503,0.0235158862876254,0.00463889394215026,0.0447106400513651,0.0702341137123746,0.457393927470654,"SAC"
"C.J. McCollum","SG","2017-2018",26,0.496305732484076,0.409129411764706,0.523719844357977,0.542998158379374,0.905454545454546,0.00907920115237188,0.261613545031912,0.537217798594848,0.0625224489795918,0.157707749766573,0.1800450563204,0.353899751250435,0.112448323380799,0.12237023426734,0.0297655453618756,0.0774672273064556,0.0980884564352057,0.10400431732326,0.0242633228840125,0.0116596638655462,0.0659003831417625,0.0637833114897335,0.688783621556731,"POR"
"C.J. Miles","SF","2017-2018",30,0.442565535634909,0.43110907233838,0.464982286600995,0.576801406926407,0.868698261685746,0.00581371667601583,0.143239192946033,0.335272804372687,0.102348176373429,0.241885424965806,0.0527126441699753,0.116438149637325,0.0373616887997996,0.0441029372701216,0.0144128588183725,0.112357561939504,0.124292202077099,0.0250594142404051,0.0222546720687585,0.0122215201594893,0.0209068270718117,0.0888257391091213,0.413174393247087,"TOR"
"C.J. Williams",NA,"2017-2018",NA,0.45,0,0.45,0.435,0.5,0.0024390243902439,0.09375,0.208333333333333,0,0,0.09375,0.208333333333333,0.0625,0.125,0.0729166666666667,0.208333333333333,0.28125,0.104166666666667,0.03125,0,0.09375,0.15625,0.25,"LAC"
"Caleb Swanigan",NA,"2017-2018",NA,0.497536945812808,0.377777777777778,0.537974683544304,0.535,0.761363636363636,0.00739329268292683,0.173539518900344,0.348797250859107,0.0292096219931271,0.077319587628866,0.146048109965636,0.271477663230241,0.115120274914089,0.151202749140893,0.0738831615120275,0.281786941580756,0.357388316151203,0.0824742268041237,0.013745704467354,0.0171821305841924,0.103092783505155,0.0859106529209622,0.493127147766323,"POR"
"Cameron Oliver",NA,"2017-2018",NA,0.486842105263158,0.369230769230769,0.52760736196319,0.5365,0.680555555555556,0.00778709349593496,0.181076672104405,0.371941272430669,0.0391517128874388,0.106035889070147,0.140293637846656,0.265905383360522,0.0799347471451876,0.117455138662316,0.0701468189233279,0.220228384991843,0.290375203915171,0.0424143556280587,0.0228384991843393,0.0848287112561175,0.0734094616639478,0.0978792822185971,0.479608482871126,"HOU"
