"Player","Pos","Season","Age","FGPer","FG3Per","FG2Per","effFGPer","FTPer","effMin","effFG","effFGA","eff3PM","eff3PA","eff2PM","eff2PA","effFTM","effFTA","effORB","effDRB","effTRB","effAST","effSTL","effBLK","effTOV","effPF","effPTS","Tm"
"James Ennis","SF","2017-2018",27,0.456254590696967,0.334428927680798,0.531629694701194,0.515018486611793,0.787222676452809,0.00470852779765692,0.0899386590180215,0.205964306404399,0.0229002391548355,0.0676407197553705,0.0661860338677128,0.124982579407525,0.0557806467471706,0.0711151021164483,0.057918041848244,0.132718953088733,0.183811487083084,0.0379905287897416,0.0316447824394505,0.0128374204221813,0.0364781072229941,0.136897189823122,0.259427227906727,"MEM"
"James Harden","PG","2017-2018",28,0.455472527472527,0.359530555555556,0.554241164241164,0.536573146292585,0.834577333333333,0.0093017347324636,0.26759219028778,0.594710501645403,0.100790928816407,0.292281260476031,0.155450731726178,0.30237278644922,0.235952766568954,0.28840598783322,0.0309555569671177,0.202170438400649,0.222965972272943,0.305913739439751,0.0393750393750394,0.0110240078392945,0.174546790788829,0.0685001014816318,0.918153392191854,"HOU"
"James Johnson","PF","2017-2018",30,0.487611235955056,0.380711974110032,0.5593095684803,0.57673,0.683433333333333,0.00661021447009722,0.215237226277372,0.407124959145876,0.0688216892596455,0.196019616788321,0.121532846715328,0.219283146312234,0.0583941605839416,0.0827686385590297,0.0296125196814411,0.143232741402477,0.165826144658261,0.122627737226277,0.0328467153284672,0.0282165813269419,0.0717349579783057,0.0959343065693431,0.599132759991328,"MIA"
"James Young","SG","2017-2018",22,0.433259259259259,0.255759259259259,0.474574074074074,0.478444444444444,0.647444444444444,0.00436897771755495,0.148395433986647,0.325651518414818,0.0263838035752746,0.0821667025629981,0.122442386388111,0.243807882834374,0.0757053629119104,0.107042860219686,0.0478139134180487,0.142472539306483,0.189963385741977,0.0856127503769115,0.0353219900926125,0.0285375834589705,0.0626749946155503,0.0983200516907172,0.398341589489554,"MIL"
"JaMychal Green","PF","2017-2018",27,0.523064248226235,0.379,0.55366986041469,0.581150507218104,0.774238461538462,0.00605046420912783,0.12397558564806,0.225671092193518,0.0256410256410256,0.0529626231548228,0.0968559262875465,0.158060153606946,0.0575448927297066,0.0830206754371542,0.0848433611106422,0.193296873264908,0.276229620027203,0.0449973215691455,0.0226541354321571,0.0148446211163981,0.0409695050891647,0.112314346874212,0.34479772437964,"MEM"
"Jared Dudley","PF","2017-2018",32,0.475755448476635,0.374410010610662,0.63414533668632,0.601138067497267,0.69099986042672,0.00492327915212267,0.122025088760486,0.259266458798866,0.0639917939006588,0.184344095970718,0.0568996750559813,0.0950126923321921,0.032450566528738,0.044930857058525,0.0215771628745755,0.150598789783033,0.172681846023219,0.102620406683266,0.0349478686659309,0.0125421134059169,0.0569540945729109,0.109064332656596,0.327866340054017,"PHO"
"Jarell Martin","PF","2017-2018",23,0.436016393442623,0.301786885245902,0.481196721311475,0.493950819672131,0.699147540983607,0.00449986671997868,0.156608663457979,0.34292854498334,0.0412810070344317,0.117086264346538,0.115420214735283,0.22611995557201,0.0631247686042207,0.0837652721214365,0.0429470566456868,0.126434653831914,0.169011477230655,0.0744168826360607,0.0302665679378008,0.0185116623472788,0.0507219548315439,0.0843206219918549,0.416790077748982,"MEM"
"Jarrett Allen",NA,"2017-2018",NA,0.5625,0,0.574468085106383,0.566,0.555555555555556,0.00818089430894309,0.167701863354037,0.298136645962733,0,0.0062111801242236,0.167701863354037,0.291925465838509,0.077639751552795,0.139751552795031,0.093167701863354,0.167701863354037,0.263975155279503,0.0248447204968944,0.0186335403726708,0.046583850931677,0.077639751552795,0.0652173913043478,0.416149068322981,"BRK"
"Jarrod Uthoff","PF","2017-2018",24,0.46919298245614,0.243421052631579,0.510982456140351,0.510438596491228,0.614087719298246,0.00450631151048353,0.154401582591494,0.326211671612265,0.0303659742828882,0.0902077151335312,0.124727992087043,0.236102868447082,0.061028684470821,0.0864490603363007,0.0492581602373887,0.132245301681503,0.181305637982196,0.0735905044510386,0.0300692383778437,0.0281899109792285,0.0484668644906034,0.0897131552917903,0.4,"IND"
"Jason Smith","C","2017-2018",31,0.516824824376537,0.291525204630927,0.533305617977528,0.568287162162162,0.719598646034816,0.00313070350091256,0.150277292800657,0.293705518589364,0.0257316468253968,0.0672123015873016,0.138044354671076,0.248596531729023,0.0318932360043445,0.0420214020963167,0.0728666245259166,0.188499991268651,0.257151256883092,0.0370286685901512,0.018008586177834,0.0636375475750037,0.0593451846836923,0.184928697962594,0.333648568461653,"WAS"
"Jason Terry","SG","2017-2018",40,0.394,0.378,0.418,0.508,0.765,0.00625,0.105691056910569,0.272357723577236,0.0609756097560976,0.166666666666667,0.0447154471544715,0.109756097560976,0.048780487804878,0.0650406504065041,0.0203252032520325,0.105691056910569,0.126016260162602,0.0731707317073171,0.032520325203252,0.0203252032520325,0.0284552845528455,0.0894308943089431,0.32520325203252,"MIL"
"JaVale McGee","C","2017-2018",30,0.652,0,0.657821782178218,0.652,0.481441387559809,0.002291577071942,0.283634737678855,0.431059900682806,0,0.0104166666666667,0.280406901485216,0.421373161341619,0.0722960992907801,0.153629210992908,0.148619345630215,0.175932379554903,0.301026349283722,0.0230266549804083,0.0177390527256479,0.0808423913043478,0.0510221546719246,0.160042735042735,0.625676184905836,"GSW"
"Jawun Evans",NA,"2017-2018",NA,0.448979591836735,0.416666666666667,0.459183673469388,0.496,0.816326530612245,0.00739329268292683,0.189003436426117,0.420962199312715,0.0343642611683849,0.0824742268041237,0.154639175257732,0.336769759450172,0.13745704467354,0.168384879725086,0.0223367697594502,0.11340206185567,0.134020618556701,0.194158075601375,0.0498281786941581,0.00515463917525773,0.0910652920962199,0.0824742268041237,0.551546391752577,"LAC"
