"Team","W","L","PTS","PTSA","SRS","Season"
"Los Angeles Lakers",43,39,100.4,101.5,-0.95,"1991-1992"
"Sacramento Kings",29,53,104.3,110.3,-5.63,"1991-1992"
"New York Knicks",60,22,101.6,95.4,5.87,"1992-1993"
"Boston Celtics",48,34,103.7,102.8,0.93,"1992-1993"
"New Jersey Nets",43,39,102.8,101.6,1.2,"1992-1993"
"Orlando Magic",41,41,105.5,104.2,1.35,"1992-1993"
"Miami Heat",36,46,103.6,104.7,-0.93,"1992-1993"
"Philadelphia 76ers",26,56,104.3,110.1,-5.25,"1992-1993"
"Washington Bullets",22,60,101.9,108.9,-6.49,"1992-1993"
"Chicago Bulls",57,25,105.2,98.9,6.19,"1992-1993"
"Cleveland Cavaliers",54,28,107.7,101.3,6.3,"1992-1993"
"Charlotte Hornets",44,38,110.1,110.4,-0.02,"1992-1993"
"Atlanta Hawks",43,39,107.5,108.4,-0.67,"1992-1993"
"Indiana Pacers",41,41,107.8,106.1,1.77,"1992-1993"
"Detroit Pistons",40,42,100.6,102,-1.1,"1992-1993"
"Milwaukee Bucks",28,54,102.3,106.1,-3.26,"1992-1993"
"Houston Rockets",55,27,104,99.8,3.57,"1992-1993"
"San Antonio Spurs",49,33,105.5,102.8,2.21,"1992-1993"
"Utah Jazz",47,35,106.2,104,1.74,"1992-1993"
"Denver Nuggets",36,46,105.2,106.9,-2.14,"1992-1993"
"Minnesota Timberwolves",19,63,98.1,105.9,-7.62,"1992-1993"
"Dallas Mavericks",11,71,99.3,114.5,-14.68,"1992-1993"
"Phoenix Suns",62,20,113.4,106.7,6.27,"1992-1993"
"Seattle SuperSonics",55,27,108.3,101.3,6.66,"1992-1993"
"Portland Trail Blazers",51,31,108.5,105.4,2.92,"1992-1993"
"Los Angeles Clippers",41,41,107.1,106.8,0.33,"1992-1993"
"Los Angeles Lakers",39,43,104.2,105.5,-1.2,"1992-1993"
"Golden State Warriors",34,48,109.9,110.9,-0.94,"1992-1993"
"Sacramento Kings",25,57,107.9,111.1,-3,"1992-1993"
"New York Knicks",57,25,98.5,91.5,6.48,"1993-1994"
"Orlando Magic",50,32,105.7,101.8,3.68,"1993-1994"
"New Jersey Nets",45,37,103.2,101,2.11,"1993-1994"
"Miami Heat",42,40,103.4,100.7,2.4,"1993-1994"
"Boston Celtics",32,50,100.8,105.1,-4.28,"1993-1994"
"Philadelphia 76ers",25,57,98,105.6,-7.37,"1993-1994"
"Washington Bullets",24,58,100.4,107.7,-7.13,"1993-1994"
"Atlanta Hawks",57,25,101.4,96.2,4.94,"1993-1994"
"Chicago Bulls",55,27,98,94.9,2.87,"1993-1994"
"Indiana Pacers",47,35,101,97.5,3.26,"1993-1994"
"Cleveland Cavaliers",47,35,101.2,97.1,3.64,"1993-1994"
"Charlotte Hornets",41,41,106.5,106.7,-0.23,"1993-1994"
"Milwaukee Bucks",20,62,96.9,103.4,-6.24,"1993-1994"
"Detroit Pistons",20,62,96.9,104.7,-7.46,"1993-1994"
"Houston Rockets",58,24,101.1,96.8,4.19,"1993-1994"
"San Antonio Spurs",55,27,100,94.8,5.05,"1993-1994"
"Utah Jazz",53,29,101.9,97.7,4.1,"1993-1994"
"Denver Nuggets",42,40,100.3,98.8,1.54,"1993-1994"
"Minnesota Timberwolves",20,62,96.7,103.6,-6.55,"1993-1994"
"Dallas Mavericks",13,69,95.1,103.8,-8.19,"1993-1994"
"Seattle SuperSonics",63,19,105.9,96.9,8.68,"1993-1994"
"Phoenix Suns",56,26,108.2,103.4,4.68,"1993-1994"
"Golden State Warriors",50,32,107.9,106.1,1.76,"1993-1994"
"Portland Trail Blazers",47,35,107.3,104.6,2.6,"1993-1994"
"Los Angeles Lakers",33,49,100.4,104.7,-3.93,"1993-1994"
"Sacramento Kings",28,54,101.1,106.9,-5.32,"1993-1994"
"Los Angeles Clippers",27,55,103,108.7,-5.28,"1993-1994"
"Orlando Magic",57,25,110.9,103.8,6.44,"1994-1995"
"New York Knicks",55,27,98.2,95.1,2.78,"1994-1995"
"Boston Celtics",35,47,102.8,104.7,-1.92,"1994-1995"
"Miami Heat",32,50,101.1,102.8,-1.85,"1994-1995"
"New Jersey Nets",30,52,98.1,101.2,-3.28,"1994-1995"
"Philadelphia 76ers",24,58,95.4,100.4,-5.06,"1994-1995"
"Washington Bullets",21,61,100.5,106.1,-5.56,"1994-1995"
"Indiana Pacers",52,30,99.2,95.5,3.35,"1994-1995"
"Charlotte Hornets",50,32,100.6,97.3,2.87,"1994-1995"
"Chicago Bulls",47,35,101.5,96.7,4.32,"1994-1995"
"Cleveland Cavaliers",43,39,90.5,89.8,0.55,"1994-1995"
"Atlanta Hawks",42,40,96.6,95.3,1.06,"1994-1995"
"Milwaukee Bucks",34,48,99.3,103.7,-4.3,"1994-1995"
"Detroit Pistons",28,54,98.2,105.5,-7.08,"1994-1995"
"San Antonio Spurs",62,20,106.6,100.6,5.9,"1994-1995"
"Utah Jazz",60,22,106.4,98.4,7.76,"1994-1995"
"Houston Rockets",47,35,103.5,101.4,2.32,"1994-1995"
"Denver Nuggets",41,41,101.3,100.5,0.96,"1994-1995"
"Dallas Mavericks",36,46,103.2,106.1,-2.39,"1994-1995"
"Minnesota Timberwolves",21,61,94.2,103.2,-8.22,"1994-1995"
"Phoenix Suns",59,23,110.6,106.8,3.86,"1994-1995"
"Seattle SuperSonics",57,25,110.4,102.2,7.91,"1994-1995"
"Los Angeles Lakers",48,34,105.1,105.3,-0.01,"1994-1995"
"Portland Trail Blazers",44,38,103.1,99.2,3.8,"1994-1995"
"Sacramento Kings",39,43,98.2,99.2,-0.74,"1994-1995"
"Golden State Warriors",26,56,105.7,111.1,-4.9,"1994-1995"
"Los Angeles Clippers",17,65,96.7,105.8,-8.43,"1994-1995"
"Orlando Magic",60,22,104.5,99,5.4,"1995-1996"
"New York Knicks",47,35,97.2,94.9,2.24,"1995-1996"
"Miami Heat",42,40,96.5,95,1.46,"1995-1996"
"Washington Bullets",39,43,102.5,101.5,0.99,"1995-1996"
"Boston Celtics",33,49,103.6,107,-3.37,"1995-1996"
"New Jersey Nets",30,52,93.7,97.9,-4.14,"1995-1996"
"Philadelphia 76ers",18,64,94.5,104.5,-9.45,"1995-1996"
"Chicago Bulls",72,10,105.2,92.9,11.8,"1995-1996"
"Indiana Pacers",52,30,99.3,96.1,3.11,"1995-1996"
"Cleveland Cavaliers",47,35,91.1,88.5,2.49,"1995-1996"
