"Rk","Player","Class","Season","Pos","School","Conf","G","MP","FG","FGA","2P","2PA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","PProd","ORtg","DRtg","OWS","DWS","WS","OBPM","DBPM","BPM"
"837","Travis Hammonds","JR","2015-16","G","Long Beach State","Big West","32","23.6","3.3","7.7","1.7","3.6","1.6","4.1","1.8","2.3","1.3","3.7","4.9","1.2","0.8","0.6","1.5","2.9","10.1","17.4",".572",".537","5.7","17.3","11.4","10.5","1.9","2.9","14.6","21.5","297","108.7","101.1","1.3","1.2","2.4","2.4","1.6","4.1"
"838","J.R. Holder","JR","2015-16","F","Jacksonville","A-Sun","32","23.1","3.1","6.8","2.5","5.0","0.6","1.9","3.1","4.4","1.4","2.4","3.8","1.3","0.9","0.3","1.6","2.1","9.9","17.4",".553",".495","6.2","11.5","8.8","10.6","2.2","1.4","15.4","22.2","317","108.8","105.6","1.3","0.8","2.2","-0.9","-1.3","-2.2"
"839","T.J. Holyfield","FR","2015-16","F","Stephen F. Austin","Southland","34","19.9","2.9","5.5","2.4","4.2","0.5","1.3","1.4","1.9","1.6","2.6","4.2","1.1","0.7","1.5","1.8","3.4","7.5","17.4",".593",".565","9.5","15.8","12.6","9.3","2.1","8.4","22.3","20.2","249","105.3","88.5","0.9","1.8","2.7","-1.1","5.6","4.5"
"840","Kuran Iverson","JR","2015-16","F","Rhode Island","A-10","28","27.1","3.9","8.1","3.3","6.7","0.6","1.5","1.4","2.8","2.1","5.1","7.1","1.5","0.8","1.2","2.2","3.0","9.8","17.4",".516",".513","9.1","22.8","15.8","12.3","1.8","4.8","18.9","22.9","278","98.2","95.0","0.6","1.6","2.2","-0.5","4.6","4.1"
"841","Shawn Johnson","SO","2015-16","G","Incarnate Word","Southland","29","27.0","3.2","7.3","1.8","3.7","1.4","3.6","1.6","2.4","1.0","5.5","6.6","0.9","0.9","1.2","1.0","1.9","9.5","17.4",".562",".540","4.4","23.0","13.8","6.7","1.9","4.6","10.3","17.5","252","109.7","99.6","1.1","1.3","2.4","-1.0","1.3","0.2"
"842","James McGee","SO","2015-16","G","Southern Utah","Big Sky","29","27.2","3.8","8.8","1.0","2.2","2.7","6.6","1.9","2.2","0.2","1.7","1.9","1.7","1.0","0.1","1.4","1.9","12.2","17.4",".622",".585","1.0","7.5","4.2","12.9","2.0","0.4","12.3","21.0","317","116.7","117.9","1.9","0.0","1.8","3.7","-5.2","-1.5"
"843","Agunwa Okolie","SR","2015-16","G","Harvard","Ivy","30","31.0","4.0","7.5","3.8","7.0","0.2","0.4","2.1","3.3","2.2","3.7","6.0","2.0","1.1","0.7","1.8","2.4","10.3","17.4",".567",".547","8.4","13.1","10.8","13.4","2.2","2.4","16.8","18.1","312","110.2","98.3","1.5","1.7","3.2","0.5","2.7","3.2"
"844","Marcus Paige","SR","2015-16","G","North Carolina","ACC","34","31.6","4.1","10.4","2.0","4.3","2.2","6.1","2.1","2.7","0.4","2.1","2.5","3.7","1.1","0.4","1.2","1.5","12.6","17.4",".537",".503","1.6","7.0","4.4","18.4","2.1","1.5","9.5","19.4","418","121.9","104.7","2.8","1.3","4.1","6.4","2.3","8.6"
"845","Derrico Peck","SR","2015-16","G","Maryland-Eastern Shore","MEAC","32","15.3","1.8","2.3","1.8","2.3","0.0","0.0","0.3","0.6","1.2","1.7","2.8","0.9","0.7","0.7","0.8","2.1","3.8","17.4",".729",".757","9.1","13.1","11.1","12.1","2.6","5.3","23.1","11.2","124","123.5","105.4","0.9","0.6","1.5","0.3","2.5","2.8"
"846","Davon Reed","JR","2015-16","G","Miami (FL)","ACC","35","28.8","3.7","7.9","2.4","4.4","1.3","3.4","2.4","2.9","0.6","3.5","4.1","1.2","0.8","0.4","1.3","2.1","11.1","17.4",".599",".553","2.7","13.7","8.5","8.1","1.6","1.5","12.0","19.4","354","118.0","103.5","2.3","1.3","3.6","4.4","2.5","6.9"
"847","Laquincy Rideau","FR","2015-16","G","Gardner-Webb","Big South","33","15.8","2.1","4.8","1.6","3.3","0.5","1.5","1.1","2.5","0.5","1.8","2.2","2.5","2.0","0.1","1.7","2.8","5.8","17.4",".484",".484","3.1","12.7","7.6","30.9","7.2","0.4","21.9","22.8","212","95.4","94.4","0.2","1.1","1.4","-1.0","2.7","1.7"
"848","Tom Rivard","SO","2015-16","F","Colgate","Patriot","30","24.3","4.1","8.4","3.0","5.3","1.1","3.2","1.2","1.9","1.3","3.3","4.6","1.1","0.6","0.6","1.7","3.0","10.5","17.4",".561",".551","6.4","16.8","11.5","10.5","1.4","2.8","15.1","24.3","290","105.0","107.5","1.1","0.7","1.8","-0.5","-1.4","-2.0"
"849","Kahron Ross","SO","2015-16","G","Lehigh","Patriot","32","34.0","4.0","8.9","3.1","6.6","0.9","2.4","2.3","3.4","0.7","2.1","2.8","6.1","1.4","0.2","2.0","1.9","11.2","17.4",".531",".495","2.6","7.1","4.9","34.6","2.5","0.5","16.2","19.2","426","114.3","106.7","2.4","1.1","3.5","1.2","-2.0","-0.9"
"850","Adam Woodbury","SR","2015-16","C","Iowa","Big Ten","33","25.3","2.8","5.2","2.8","5.2","0.0","0.0","1.9","2.7","3.1","5.2","8.3","0.9","0.5","0.3","1.3","2.5","7.6","17.4",".587",".550","13.2","21.6","17.5","6.1","1.0","1.3","17.1","15.3","276","118.5","99.4","1.8","1.4","3.2","2.2","3.2","5.5"
