"Rk","Player","Class","Season","Pos","School","Conf","G","MP","FG","FGA","2P","2PA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","PProd","ORtg","DRtg","OWS","DWS","WS","OBPM","DBPM","BPM"
"1","John Brown","SR","2015-16","F","High Point","Big South","28","29.6","7.6","12.6","7.5","12.5","0.0","0.0","4.4","6.3","3.3","3.9","7.1","2.2","1.7","1.8","1.7","2.1","19.6","36.9",".629",".604","13.3","15.6","14.5","17.4","3.4","6.9","9.9","29.9","521","128.7","98.9","4.3","1.5","5.7","7.5","3.3","10.9"
"2","Jameel Warney","SR","2015-16","F","Stony Brook","AEC","33","32.9","8.2","13.1","8.2","13.1","0.0","0.0","3.4","5.4","4.5","6.3","10.8","1.6","0.9","3.0","1.3","2.2","19.8","36.4",".633",".628","15.3","21.4","18.4","10.6","1.7","9.7","7.8","25.6","606","132.7","88.6","5.3","2.9","8.3","5.7","5.7","11.4"
"3","Thomas Walkup","SR","2015-16","F","Stephen F. Austin","Southland","34","29.5","6.4","10.9","6.1","9.7","0.3","1.1","5.0","6.1","2.3","4.5","6.9","4.5","2.1","0.5","1.7","2.7","18.1","34.8",".656",".602","9.2","18.6","13.8","30.7","4.1","1.8","11.0","25.7","623","137.9","86.8","5.8","2.9","8.7","9.3","4.7","14.1"
"4","Mike Daum","FR","2015-16","F","South Dakota State","Summit","34","20.8","5.1","9.1","4.2","7.2","0.9","1.9","4.3","5.2","2.1","4.0","6.1","0.8","0.5","0.3","1.6","2.1","15.2","34.5",".656",".600","11.7","21.6","16.7","9.5","1.4","1.7","12.4","31.9","476","129.0","97.8","3.9","1.3","5.2","7.0","-0.8","6.2"
"5","Brice Johnson","SR","2015-16","F","North Carolina","ACC","40","28.0","6.7","10.9","6.7","10.9","0.0","0.0","3.6","4.6","2.9","7.5","10.4","1.5","1.1","1.5","1.8","2.7","17.0","33.0",".649",".614","11.7","28.5","20.4","9.7","2.2","5.5","11.8","25.0","613","130.2","92.3","5.0","2.6","7.6","7.3","6.2","13.4"
"6","Pascal Siakam","SO","2015-16","F","New Mexico State","WAC","34","34.6","8.1","15.0","8.0","14.5","0.1","0.4","4.0","5.9","3.9","7.7","11.6","1.7","1.0","2.2","2.0","2.7","20.2","31.5",".569",".541","13.4","23.6","18.8","12.0","1.7","6.5","10.0","29.1","649","119.6","86.7","4.4","3.4","7.8","3.4","4.6","8.0"
"7","Martin Breunig","SR","2015-16","F","Montana","Big Sky","33","30.5","6.9","11.1","6.8","10.8","0.1","0.3","5.0","7.1","2.9","6.1","9.0","1.5","0.7","1.1","2.2","3.3","18.9","31.4",".653",".625","11.9","24.1","18.1","11.8","1.3","4.5","13.3","28.8","585","125.3","96.8","4.5","2.0","6.5","4.5","1.7","6.2"
"8","DeSean Murray","SO","2015-16","F","Presbyterian","Big South","31","29.1","7.5","13.8","7.5","13.5","0.0","0.2","5.3","6.8","2.4","5.0","7.4","1.7","2.0","0.5","3.1","3.0","20.2","31.2",".595",".543","9.4","19.8","14.5","16.9","4.0","2.3","15.3","34.8","586","111.4","98.1","2.9","1.6","4.5","3.5","1.7","5.2"
"9","Jakob Poeltl","SO","2015-16","F","Utah","Pac-12","36","30.4","6.3","9.8","6.3","9.8","0.0","0.0","4.6","6.6","2.8","6.3","9.1","1.9","0.6","1.6","2.1","2.3","17.2","31.1",".666",".646","11.9","22.1","17.4","13.9","1.1","5.0","13.7","25.7","597","128.8","98.5","4.9","1.9","6.8","6.8","4.4","11.2"
"10","A.J. Hammons","SR","2015-16","C","Purdue","Big Ten","33","24.6","6.0","10.2","5.8","9.8","0.2","0.3","2.7","3.8","2.3","5.8","8.2","1.1","0.3","2.5","2.0","2.4","15.0","31.0",".623",".601","11.5","24.9","18.7","10.5","0.7","10.4","14.1","28.6","431","117.7","88.7","2.7","2.2","4.9","3.9","8.0","11.9"
"11","Chris Horton","SR","2015-16","C","Austin Peay","OVC","36","33.7","6.9","11.5","6.9","11.5","0.0","0.0","5.0","8.1","4.9","7.1","12.0","1.5","1.4","1.8","2.7","2.1","18.8","30.7",".613",".599","16.7","23.8","20.2","10.1","2.3","5.7","15.1","26.1","674","119.8","101.8","4.3","1.8","6.1","3.2","2.2","5.4"
"12","Shawn Long","SR","2015-16","F","Louisiana-Lafayette","Sun Belt","34","30.6","6.8","13.0","6.3","11.1","0.5","2.0","4.7","6.9","4.0","8.1","12.1","1.4","0.7","1.8","2.7","2.8","18.9","30.0",".579",".544","14.0","28.7","21.2","9.9","1.3","5.7","14.1","28.8","618","116.8","96.0","3.6","2.1","5.7","3.4","2.1","5.5"
"13","Antonio Campbell","JR","2015-16","F","Ohio","MAC","35","28.9","6.8","12.1","5.5","8.7","1.2","3.3","2.3","3.2","2.1","8.1","10.2","0.7","0.7","1.8","1.3","3.2","17.1","29.8",".629",".611","8.9","30.6","20.3","5.3","1.3","6.3","8.5","26.1","529","123.4","98.6","3.7","1.8","5.5","3.4","1.4","4.8"
"14","Denzel Valentine","SR","2015-16","G","Michigan State","Big Ten","31","33.0","6.6","14.3","3.3","6.8","3.4","7.5","2.6","3.1","0.8","6.7","7.5","7.8","1.0","0.2","2.7","1.7","19.2","29.7",".608",".579","3.0","21.2","12.8","45.8","1.9","0.7","14.8","28.4","622","127.2","94.0","5.0","2.2","7.3","12.2","4.4","16.5"
"15","Chris Cokley","SO","2015-16","F","Alabama-Birmingham","CUSA","33","22.1","5.3","9.3","5.3","9.3","0.0","0.0","2.5","3.4","2.3","4.2","6.5","1.4","0.9","0.7","1.0","2.8","13.1","29.6",".601",".573","12.5","19.7","16.3","14.0","2.3","3.2","8.6","26.9","400","125.2","96.9","3.0","1.4","4.4","4.0","1.1","5.2"
"16","Tyler Flack","JR","2015-16","F","South Dakota","Summit","17","17.3","3.7","6.4","3.6","5.9","0.1","0.5","2.4","2.8","2.1","3.4","5.5","0.5","0.6","1.1","1.3","2.4","9.9","29.4",".646",".593","14.1","22.9","18.5","6.3","2.1","7.3","14.4","25.9","160","121.6","103.1","1.1","0.4","1.5","2.6","0.8","3.4"
"17","Isaac Haas","SO","2015-16","C","Purdue","Big Ten","35","14.3","3.6","6.1","3.6","6.1","0.0","0.0","2.6","3.6","1.2","2.5","3.7","0.5","0.1","0.8","1.1","1.7","9.8","29.4",".629",".594","10.0","18.4","14.5","7.5","0.5","5.4","12.5","31.4","286","119.5","95.0","1.9","1.1","3.0","3.3","2.8","6.1"
"18","Adrian Diaz","SR","2015-16","C","Florida International","CUSA","32","29.8","5.6","8.7","5.6","8.7","0.0","0.0","4.0","6.4","3.2","4.7","7.8","0.9","0.6","2.9","2.1","3.5","15.3","29.3",".651",".650","13.0","16.5","14.8","6.5","1.3","10.8","15.4","24.2","465","122.1","99.2","3.4","1.6","5.0","2.9","3.5","6.4"
"19","Domantas Sabonis","SO","2015-16","F","Gonzaga","WCC","36","31.9","6.6","10.9","6.5","10.5","0.1","0.4","4.2","5.4","3.1","8.8","11.8","1.8","0.6","0.9","2.6","3.2","17.6","29.3",".654",".618","11.7","28.2","20.7","11.3","1.1","2.7","16.0","25.6","617","124.6","91.2","4.6","2.8","7.5","5.0","4.0","9.0"
"20","Joel Bolomboy","SR","2015-16","F","Weber State","Big Sky","33","31.5","5.8","10.2","5.2","8.5","0.6","1.7","4.8","6.9","3.3","9.3","12.6","1.1","0.7","1.2","2.4","2.2","17.1","29.1",".634",".602","13.1","31.3","23.0","7.4","1.3","3.5","14.9","26.1","552","121.0","90.0","3.8","2.7","6.5","1.5","2.1","3.5"
"21","Egidijus Mockevicius","SR","2015-16","C","Evansville","MVC","34","31.8","5.7","9.0","5.7","9.0","0.0","0.0","4.3","6.2","2.5","11.4","13.9","0.3","0.8","2.8","1.6","3.2","15.7","29.0",".658",".637","10.3","39.2","26.1","1.8","1.4","9.0","11.9","22.3","470","123.2","81.7","3.4","3.6","7.0","0.4","4.6","4.9"
"22","Ben Simmons","FR","2015-16","F","Louisiana State","SEC","33","34.9","6.5","11.7","6.5","11.6","0.0","0.1","6.0","9.0","3.1","8.6","11.8","4.8","2.0","0.8","3.4","2.8","19.2","29.0",".600",".561","9.6","26.8","18.2","27.4","3.1","2.5","17.4","26.4","674","117.2","98.4","3.9","2.1","6.0","6.3","5.3","11.6"
"23","Caris LeVert","SR","2015-16","G","Michigan","Big Ten","15","30.9","5.5","10.8","3.5","6.5","1.9","4.3","3.6","4.5","0.6","4.7","5.3","4.9","1.0","0.2","1.7","1.2","16.5","28.8",".636",".596","2.4","18.8","10.6","33.3","2.0","0.7","11.4","25.6","253","129.2","102.0","2.2","0.7","2.8","9.4","2.5","11.9"
"24","Kay Felder","JR","2015-16","G","Oakland","Horizon","35","36.7","7.7","17.5","5.5","11.4","2.2","6.1","6.8","8.1","0.7","3.5","4.3","9.3","2.0","0.2","3.4","3.0","24.4","28.7",".572",".502","2.2","9.7","6.1","50.0","2.9","0.5","13.9","31.3","947","122.8","105.8","6.2","1.4","7.6","9.1","-0.4","8.7"
"25","Dane Pineau","JR","2015-16","F","Saint Mary's (CA)","WCC","35","26.8","5.0","7.5","4.9","7.2","0.1","0.3","1.3","2.4","2.7","5.3","8.1","1.4","0.8","1.5","1.2","2.8","11.3","28.3",".654",".670","14.0","22.3","18.5","10.8","1.8","5.7","12.0","20.6","388","129.9","92.0","3.5","2.3","5.8","5.4","5.5","10.8"
"26","Buddy Hield","SR","2015-16","G","Oklahoma","Big 12","37","35.4","8.1","16.2","4.2","7.5","4.0","8.7","4.8","5.4","1.2","4.5","5.7","2.0","1.1","0.5","3.1","2.1","25.0","28.2",".665",".623","4.0","13.0","8.8","12.7","1.8","1.4","14.0","30.2","803","123.8","101.5","5.6","2.0","7.6","10.3","1.2","11.5"
"27","Mack Mercer","SO","2015-16","F","Belmont","OVC","23","11.1","2.7","5.3","2.3","4.3","0.4","1.0","1.7","2.0","1.1","1.9","3.0","0.4","0.3","0.7","0.7","2.0","7.5","28.2",".601",".553","12.5","18.4","15.7","7.6","1.3","5.8","9.4","30.6","157","120.3","104.0","1.0","0.3","1.3","2.1","-1.0","1.1"
"28","Rashawn Thomas","JR","2015-16","F","Texas A&M-Corpus Christi","Southland","33","26.4","6.2","11.3","6.1","10.8","0.1","0.5","4.0","5.8","2.9","5.2","8.0","1.1","0.9","2.3","3.1","3.9","16.6","28.2",".591",".558","12.2","22.1","17.1","10.1","2.0","10.0","18.2","32.1","510","107.7","94.8","2.1","1.9","4.0","-0.4","3.6","3.2"
"29","Stefan Jankovic","JR","2015-16","F","Hawaii","Big West","33","24.8","5.2","9.6","4.2","7.1","1.0","2.5","4.2","5.5","1.7","4.9","6.6","1.2","0.6","1.2","1.8","3.0","15.6","28.1",".641",".595","8.2","21.9","15.2","10.8","1.4","5.4","12.6","27.5","459","123.2","91.5","3.2","2.0","5.2","4.6","3.0","7.7"
"30","Josh Scott","SR","2015-16","F","Colorado","Pac-12","32","30.6","5.8","11.0","5.8","10.7","0.1","0.3","4.6","6.1","2.7","6.1","8.8","1.8","0.6","1.6","1.3","1.8","16.3","28.1",".588",".536","9.6","20.8","15.3","13.5","1.2","4.9","8.3","23.7","500","127.5","97.6","3.8","1.8","5.7","5.2","5.0","10.2"
"31","Chris Boucher","JR","2015-16","F","Oregon","Pac-12","38","25.8","4.2","7.8","3.2","4.7","1.0","3.0","2.7","3.9","2.7","4.7","7.4","0.4","0.8","2.9","1.1","2.7","12.1","27.9",".627",".605","12.5","20.3","16.5","2.9","1.8","11.8","10.5","20.6","432","128.5","93.5","3.4","2.2","5.6","5.5","6.0","11.5"
"32","Jarrod Uthoff","SR","2015-16","F","Iowa","Big Ten","33","30.8","6.6","14.8","4.6","9.5","2.0","5.2","3.7","4.5","1.5","4.9","6.3","1.1","1.0","2.5","1.2","1.5","18.9","27.9",".559",".515","5.1","16.7","11.0","7.6","1.8","8.7","6.4","29.1","539","117.9","96.4","3.4","2.0","5.4","5.1","5.1","10.2"
"33","Gavin Ware","SR","2015-16","F","Mississippi State","SEC","30","28.1","6.1","9.9","6.1","9.9","0.0","0.0","3.2","4.2","2.9","4.9","7.8","0.9","0.9","1.1","1.8","2.8","15.4","27.9",".644",".614","11.8","18.9","15.4","6.9","1.9","3.9","13.3","24.3","429","123.5","101.0","3.0","1.3","4.3","4.5","2.3","6.8"
"34","Matt Costello","SR","2015-16","F","Michigan State","Big Ten","35","22.9","4.2","7.5","4.2","7.3","0.1","0.2","2.2","2.9","2.9","5.3","8.2","1.3","0.7","1.2","1.1","2.1","10.7","27.8",".599",".564","15.6","24.1","20.2","10.8","1.7","5.4","10.9","22.1","367","127.6","89.9","3.0","2.1","5.1","5.5","6.0","11.5"
"35","Cameron Forte","SR","2015-16","F","Portland State","Big Sky","31","29.3","7.9","13.6","7.8","13.5","0.0","0.1","3.5","6.3","3.4","5.9","9.3","2.6","1.0","0.5","3.2","2.1","19.2","27.6",".581",".581","12.9","22.6","17.7","19.0","1.8","1.6","16.2","32.2","574","109.1","105.3","2.4","1.0","3.5","2.0","-0.9","1.1"
"36","Josh Adams","SR","2015-16","G","Wyoming","MWC","31","36.3","7.1","16.1","3.9","7.7","3.2","8.4","6.8","8.3","0.6","5.0","5.6","4.3","1.4","0.6","3.7","2.8","24.2","27.4",".604",".540","2.0","15.5","9.2","33.0","2.3","1.8","15.6","36.2","743","112.4","104.7","4.0","1.4","5.3","7.8","0.6","8.5"
"37","Geoffrey Groselle","SR","2015-16","C","Creighton","Big East","35","21.2","4.2","5.9","4.2","5.9","0.0","0.0","2.9","4.1","2.5","3.7","6.1","0.4","0.5","1.3","1.5","2.9","11.2","27.4",".710",".702","13.4","18.5","16.0","4.0","1.3","6.1","15.6","21.7","366","129.9","98.2","2.9","1.3","4.2","5.1","3.8","8.9"
"38","Moses Kingsley","SO","2015-16","F","Arkansas","SEC","32","29.5","5.7","10.4","5.7","10.4","0.0","0.0","4.4","7.0","3.2","6.1","9.3","1.2","1.1","2.4","2.0","2.9","15.9","27.4",".577",".548","11.7","23.3","17.4","8.5","2.1","8.7","12.9","25.8","485","114.8","97.1","2.7","1.8","4.5","3.0","5.8","8.8"
"39","Isaiah Johnson","JR","2015-16","C","Akron","MAC","35","25.4","5.0","8.7","4.9","8.5","0.0","0.1","3.6","6.1","2.7","4.9","7.6","1.6","0.5","1.3","1.5","2.4","13.6","27.3",".590",".576","11.4","20.4","16.0","14.2","1.0","5.1","11.8","25.8","472","120.6","95.9","3.2","1.8","5.0","2.2","3.3","5.5"
"40","Daniel Ochefu","SR","2015-16","F","Villanova","Big East","37","23.4","4.1","6.6","4.1","6.6","0.0","0.0","1.8","2.6","2.1","5.5","7.5","1.7","0.8","1.5","1.4","2.5","10.0","27.2",".642",".627","11.3","25.8","19.1","14.6","2.0","7.5","14.7","20.6","379","125.2","87.2","2.9","2.5","5.4","4.7","9.1","13.8"
"41","Alec Peters","JR","2015-16","F","Valparaiso","Horizon","37","32.1","6.0","11.9","3.6","6.4","2.5","5.6","3.8","4.5","2.5","5.9","8.4","1.3","0.7","0.3","1.7","2.1","18.4","27.2",".651",".607","8.8","19.5","14.3","9.0","1.3","1.0","10.8","24.3","605","131.5","92.4","5.1","2.8","7.9","6.8","1.7","8.5"
"42","Jaron Blossomgame","JR","2015-16","F","Clemson","ACC","31","34.2","6.5","12.6","5.0","9.4","1.5","3.3","4.3","5.5","1.8","4.9","6.7","1.5","0.7","1.3","1.8","2.0","18.7","27.1",".613",".570","6.2","16.6","11.4","10.7","1.4","4.2","10.4","26.9","520","122.4","100.8","4.0","1.7","5.6","6.2","2.6","8.8"
"43","Mamadou Ndiaye","JR","2015-16","C","UC-Irvine","Big West","37","23.2","4.6","6.8","4.6","6.8","0.0","0.0","3.0","4.8","2.0","5.2","7.2","0.6","0.2","2.4","2.2","2.5","12.1","27.1",".671",".673","10.3","23.7","17.4","6.4","0.4","11.2","19.9","25.3","397","113.2","91.8","2.2","2.1","4.2","0.7","5.5","6.2"
"44","Nathan Boothe","SR","2015-16","C","Toledo","MAC","32","31.5","7.5","15.2","6.5","12.4","1.0","2.8","3.2","3.9","1.9","7.1","9.0","3.3","0.7","1.0","2.2","2.6","19.3","26.9",".567",".530","7.0","25.5","16.4","23.9","1.2","3.5","11.5","30.5","595","114.5","98.7","3.3","1.8","5.0","3.3","2.6","5.9"
"45","Evan Bradds","JR","2015-16","F","Belmont","OVC","32","30.6","6.6","9.2","6.5","9.0","0.1","0.3","4.4","6.3","2.2","7.1","9.2","2.2","0.3","0.3","2.4","2.8","17.6","26.9",".723",".717","8.7","24.7","17.3","14.4","0.6","0.8","16.7","23.5","530","130.9","106.1","4.2","1.0","5.2","5.2","-0.2","5.0"
"46","James Thompson IV","FR","2015-16","C","Eastern Michigan","MAC","33","32.1","5.5","8.5","5.5","8.5","0.0","0.0","3.8","5.6","4.5","6.2","10.6","0.6","0.8","1.4","1.5","3.5","14.8","26.9",".665",".648","15.4","20.4","18.0","3.9","1.3","5.1","11.5","18.8","491","134.3","101.2","4.1","1.6","5.8","4.0","0.9","4.9"
"47","James Kelly","SR","2015-16","F","Marshall","CUSA","33","30.6","7.9","14.5","6.4","9.7","1.5","4.8","2.8","3.8","1.8","8.0","9.8","1.2","1.3","1.1","2.3","2.8","20.1","26.8",".615",".594","6.3","27.0","16.6","7.4","2.2","3.1","12.5","27.7","576","114.6","102.8","2.9","1.4","4.3","2.6","0.2","2.7"
"48","Joseph Uchebo","SR","2015-16","C","Charlotte","CUSA","33","27.9","5.5","9.4","5.5","9.4","0.0","0.0","2.2","3.9","3.8","7.7","11.5","0.9","1.0","0.7","1.3","1.8","13.2","26.7",".584",".584","14.6","32.4","23.0","6.9","2.0","2.4","10.6","21.7","432","120.4","103.3","2.8","1.2","4.0","1.2","0.8","2.1"
"49","Thomas Bryant","FR","2015-16","C","Indiana","Big Ten","35","22.6","4.5","6.6","4.3","6.1","0.1","0.4","2.7","3.9","2.0","3.8","5.8","1.0","0.5","0.9","1.7","2.8","11.9","26.6",".704",".693","11.2","19.0","15.3","8.1","1.2","4.1","16.4","22.1","380","130.0","100.3","3.1","1.3","4.4","5.9","2.8","8.7"
"50","Alex Hamilton","SR","2015-16","G","Louisiana Tech","CUSA","33","35.3","6.5","13.0","5.4","9.5","1.0","3.5","5.9","8.4","1.0","4.7","5.7","6.2","2.0","0.5","3.2","1.6","19.9","26.6",".586",".537","3.2","14.1","8.7","35.3","3.1","1.4","15.7","27.2","694","117.4","97.0","4.0","2.2","6.3","5.5","1.4","6.9"
"51","Jock Landale","SO","2015-16","C","Saint Mary's (CA)","WCC","35","14.5","2.9","4.8","2.9","4.7","0.0","0.0","1.9","2.5","1.1","2.8","3.9","0.6","0.3","0.3","1.0","2.2","7.8","26.6",".654",".614","10.2","21.4","16.3","8.6","1.1","2.5","14.4","27.1","247","123.0","95.7","1.9","1.0","3.0","2.6","1.0","3.5"
"52","Diamond Stone","FR","2015-16","C","Maryland","Big Ten","35","23.1","4.8","8.4","4.8","8.4","0.0","0.0","2.9","3.8","2.2","3.2","5.4","0.4","0.5","1.6","1.5","2.3","12.5","26.6",".610",".568","12.4","14.5","13.6","4.2","1.3","7.1","12.9","26.7","408","118.3","97.9","2.6","1.5","4.1","2.4","2.9","5.3"
"53","Zeek Woodley","JR","2015-16","G","Northwestern State","Southland","28","33.0","7.7","14.5","5.7","9.5","2.0","5.0","4.8","5.4","1.7","3.5","5.2","1.6","1.0","0.6","2.0","2.4","22.2","26.5",".650",".601","5.7","11.6","8.7","10.5","1.6","1.6","10.3","27.0","542","126.6","116.6","3.8","0.1","3.9","5.2","-4.0","1.2"
"54","Anthony Gill","SR","2015-16","F","Virginia","ACC","37","28.0","5.1","8.8","5.1","8.8","0.1","0.1","3.5","4.7","2.2","4.0","6.1","0.8","0.6","0.6","1.1","2.3","13.8","26.4",".624",".583","10.6","18.2","14.5","5.8","1.5","2.6","9.3","24.7","471","126.7","97.7","4.1","1.9","6.0","5.7","3.1","8.9"
"55","Chinanu Onuaku","SO","2015-16","C","Louisville","ACC","31","24.6","4.4","7.1","4.4","7.1","0.0","0.0","1.1","1.8","2.9","5.5","8.5","1.6","0.8","2.0","2.1","3.0","9.9","26.4",".620",".620","13.7","25.8","19.8","12.9","1.9","9.6","20.8","20.5","314","114.7","84.9","1.8","2.3","4.2","3.6","10.2","13.9"
"56","Jalen Billups","SR","2015-16","C","Northern Kentucky","A-Sun","30","19.7","4.7","8.1","4.7","8.1","0.0","0.0","2.7","4.0","1.8","3.7","5.5","0.7","0.2","1.3","1.8","2.7","12.1","26.2",".606",".584","10.4","21.3","15.9","9.2","0.7","7.0","15.2","30.4","321","110.0","103.4","1.5","0.8","2.3","-0.1","0.7","0.6"
"57","T.J. Cline","JR","2015-16","F","Richmond","A-10","32","30.0","7.1","12.8","5.8","9.0","1.4","3.7","2.8","4.3","1.2","4.0","5.2","3.8","0.7","0.1","2.3","2.7","18.4","26.2",".621",".613","4.7","15.4","10.2","28.2","1.3","0.3","13.2","29.6","562","118.0","108.4","3.5","0.8","4.3","7.8","-0.8","7.0"
"58","James Farr","SR","2015-16","F","Xavier","Big East","34","20.6","4.2","7.8","4.2","7.5","0.0","0.2","2.2","3.0","2.9","5.0","7.8","0.6","0.8","1.0","1.4","2.4","10.7","26.2",".582",".547","15.2","25.5","20.5","5.7","2.1","5.5","12.8","24.1","345","117.5","91.9","2.0","1.7","3.7","2.9","4.9","7.8"
"59","Kevin Ferguson","SR","2015-16","C","Army","Patriot","29","27.5","5.3","8.6","5.3","8.6","0.0","0.0","2.5","3.6","3.9","5.7","9.7","1.2","0.5","1.6","1.9","3.0","13.1","26.2",".637",".618","14.9","22.0","18.4","9.3","1.0","5.2","15.3","21.0","373","122.7","98.3","2.5","1.4","4.0","1.4","2.2","3.6"
"60","Justin Sears","SR","2015-16","F","Yale","Ivy","28","31.0","5.8","11.1","5.6","10.5","0.2","0.6","3.9","5.8","3.7","3.8","7.5","2.8","0.8","1.7","2.5","2.8","15.7","26.2",".568",".534","13.9","14.0","13.9","19.3","1.4","6.1","15.1","26.1","451","117.6","94.6","2.9","1.9","4.7","3.7","4.9","8.6"
"61","Grayson Allen","SO","2015-16","G","Duke","ACC","36","36.6","6.6","14.3","4.1","8.3","2.5","6.0","5.9","7.0","0.7","3.9","4.6","3.5","1.3","0.1","2.0","2.7","21.6","26.1",".616",".554","2.0","11.7","6.9","19.4","2.1","0.3","10.2","26.8","733","128.5","107.6","5.9","1.2","7.2","9.0","0.7","9.7"
"62","Miles Bowman","JR","2015-16","F","High Point","Big South","15","14.7","2.5","4.3","2.3","3.6","0.3","0.7","1.9","2.1","1.4","2.8","4.2","0.5","0.2","0.2","0.7","1.5","7.3","26.1",".680",".615","11.6","22.9","17.3","7.1","0.8","1.6","11.1","21.0","102","136.0","104.3","0.9","0.3","1.2","3.5","-3.0","0.5"
"63","Derrick Griffin","FR","2015-16","F","Texas Southern","SWAC","27","34.0","5.3","8.0","5.3","7.9","0.0","0.1","2.7","5.1","4.9","6.2","11.0","0.6","0.7","2.2","1.1","2.7","13.3","26.1",".636",".662","16.3","20.5","18.4","3.6","1.2","6.4","9.3","16.9","350","132.2","99.7","3.0","1.5","4.6","2.7","1.8","4.5"
"64","Rokas Gustys","SO","2015-16","F","Hofstra","CAA","34","30.4","5.6","8.6","5.6","8.6","0.0","0.0","2.2","5.1","4.1","8.9","13.0","0.9","0.9","1.2","1.8","3.4","13.5","26.1",".616",".660","15.0","30.8","23.1","6.4","1.8","3.7","13.9","20.5","447","119.6","95.5","2.9","2.1","5.0","1.7","2.5","4.2"
"65","Justin Johnson","SO","2015-16","F","Western Kentucky","CUSA","34","28.9","5.8","9.6","5.8","9.4","0.0","0.3","3.3","4.9","3.0","4.9","7.9","1.4","0.5","0.6","1.7","2.1","14.9","26.1",".623",".602","12.3","18.6","15.6","10.4","0.9","2.0","12.5","23.5","488","125.1","108.6","3.7","0.8","4.5","3.9","-0.8","3.1"
"66","Venky Jois","SR","2015-16","F","Eastern Washington","Big Sky","32","33.1","6.9","10.1","6.9","10.1","0.0","0.0","2.7","5.7","1.8","6.8","8.7","2.5","1.0","1.8","2.6","2.4","16.4","26.1",".640",".679","6.5","24.7","15.5","14.9","1.7","5.0","16.7","23.3","511","118.1","105.5","3.2","1.2","4.3","1.0","1.1","2.1"
"67","Tim Kempton","JR","2015-16","C","Lehigh","Patriot","29","29.8","6.3","11.3","6.1","10.8","0.2","0.6","5.0","6.6","2.4","7.1","9.5","1.4","0.7","0.4","2.9","3.1","17.7","26.1",".613",".563","9.8","27.7","19.0","11.2","1.4","1.7","16.7","30.3","473","112.9","100.0","2.6","1.4","4.0","0.6","-1.1","-0.4"
"68","Ryan Anderson","SR","2015-16","F","Arizona","Pac-12","33","29.2","5.3","9.7","5.2","9.5","0.1","0.2","4.7","6.3","3.0","7.1","10.1","0.8","0.7","0.6","1.9","2.1","15.3","26.0",".604",".549","12.7","26.1","19.9","5.4","1.4","2.0","13.1","24.6","485","121.7","94.1","3.3","2.1","5.4","3.9","2.8","6.7"
"69","Ryan Rhoomes","SR","2015-16","F","Fordham","A-10","31","31.7","6.0","9.3","6.0","9.3","0.0","0.0","2.5","4.3","4.2","5.5","9.7","1.4","0.7","1.8","2.0","3.2","14.6","26.0",".642",".647","15.6","21.6","18.6","9.9","1.3","7.4","15.2","21.6","436","121.7","98.2","3.0","1.8","4.8","2.8","3.9","6.7"
"70","Jake White","SR","2015-16","F","Nebraska-Omaha","Summit","32","25.9","6.2","10.8","5.5","9.5","0.7","1.3","4.3","5.3","2.3","3.9","6.2","0.3","0.3","0.2","1.5","3.0","17.3","26.0",".647",".599","9.9","17.1","13.5","2.4","0.6","0.9","10.1","26.2","493","127.4","111.2","3.5","0.5","4.0","3.0","-4.8","-1.7"
"71","Georges Niang","SR","2015-16","F","Iowa State","Big 12","35","33.2","8.1","14.8","6.5","10.7","1.6","4.1","2.7","3.4","1.3","4.9","6.2","3.3","0.9","0.6","2.6","3.2","20.5","25.9",".625",".600","4.8","15.6","10.6","19.2","1.5","1.8","13.8","28.7","679","118.6","104.7","4.2","1.4","5.6","7.3","1.4","8.7"
"72","Gary Payton","SR","2015-16","G","Oregon State","Pac-12","32","34.3","6.4","13.2","5.7","11.0","0.7","2.2","2.5","3.8","2.4","5.4","7.8","5.0","2.5","0.5","2.3","2.7","16.0","25.9",".532",".512","7.8","18.0","12.8","32.9","4.3","1.7","13.3","25.6","558","112.7","97.2","3.0","2.1","5.0","6.8","5.7","12.5"
"73","Quinton Hooker","JR","2015-16","G","North Dakota","Big Sky","32","35.5","6.6","13.5","5.0","9.4","1.6","4.2","5.3","6.2","1.2","3.7","4.9","3.5","1.9","0.3","1.8","2.3","20.1","25.8",".610",".546","3.7","11.4","7.7","21.1","2.9","0.8","9.9","25.3","622","123.8","98.6","4.3","2.0","6.3","5.8","0.2","6.1"
"74","Doral Moore","FR","2015-16","C","Wake Forest","ACC","30","7.1","1.6","2.5","1.6","2.5","0.0","0.0","0.6","1.0","1.2","1.4","2.6","0.0","0.2","0.8","0.9","1.5","3.8","25.8",".642",".649","18.3","20.5","19.4","1.1","1.6","10.9","23.3","25.9","101","104.1","102.6","0.3","0.3","0.6","-1.0","2.7","1.8"
"75","Bonzie Colson","SO","2015-16","F","Notre Dame","ACC","36","25.3","4.2","7.8","4.1","7.5","0.1","0.3","2.7","3.4","2.4","4.3","6.7","0.9","0.9","1.0","1.0","2.4","11.1","25.7",".587",".539","11.7","18.8","15.4","7.4","2.1","4.0","9.6","22.0","399","125.4","105.1","3.2","1.1","4.2","4.5","2.8","7.3"
