"Player","Pos","Season","Age","Tm","effMin","eff3PA","eff3PM","eff2PA","eff2PM","effFTA","effFTM","effORB","effDRB","effAST","effSTL","effBLK","effTOV","effPF","effPTS","x","y"
"A.C. Green","PF","1999-2000",36,"LAL",0.489583333333333,0,0,0.0024390243902439,0.00108977685521536,0.000622729631551635,0.00041515308770109,0.00103788271925272,0.00207576543850545,0.000518941359626362,0.000311364815775817,0.000103788271925272,0.000311364815775817,0.000778412039439543,0.00259470679813181,-11.8951173102596,-19.0478479754742
"A.C. Green","PF","1996-1997",33,"TOT",0.625,0.0000813008130081301,0,0.00227642276422764,0.00113821138211382,0.000975609756097561,0.000609756097560976,0.00109756097560976,0.00211382113821138,0.00032520325203252,0.00032520325203252,0.0000813008130081301,0.000365853658536585,0.000691056910569106,0.00292682926829268,-11.7942245653731,-19.1102493162376
"A.C. Green","PF","1997-1998",34,"DAL",0.672916666666667,0,0,0.00245412670844975,0.00113267386543834,0.00075511591029223,0.000528581137204561,0.00101940647889451,0.00207656875330363,0.000566336932719172,0.000377557955146115,0.000113267386543834,0.000302046364116892,0.000717360114777618,0.00275617307256664,-11.8235922623487,-19.1221656413339
"A.C. Green","PF","1998-1999",35,"DAL",0.385416666666667,0.0001318391562294,0,0.003295978905735,0.0014502307185234,0.000659195781147001,0.0003955174686882,0.0010547132498352,0.0019116677653263,0.0003295978905735,0.0003955174686882,0.0001318391562294,0.0002636783124588,0.000922874093605801,0.0032300593276203,-15.396016484818,2.70116908070941
"A.C. Green","PF","2000-2001",37,"MIA",0.358333333333333,0.0000709018718094158,0,0.00276517300056722,0.00127623369256948,0.000992626205331821,0.000709018718094158,0.000921724333522405,0.00177254679523539,0.000354509359047079,0.000283607487237663,0.0000709018718094158,0.000354509359047079,0.00106352807714124,0.00319058423142371,-15.611406476388,2.90502079990598
"A.J. Bramlett","C","1999-2000",23,"CLE",0.158333333333333,0,0,0.00417201540436457,0.000802310654685494,0,0,0.00240693196405648,0.00208600770218229,0,0.000160462130937099,0,0.000641848523748395,0.00256739409499358,0.00160462130937099,-36.9209027352979,7.08172481087323
"A.J. Guyton","PG","2001-2002",23,"CHI",0.28125,0.0024390243902439,0.000903342366757001,0.0024390243902439,0.000813008130081301,0.000542005420054201,0.0004516711833785,0.0002710027100271,0.000632339656729901,0.0016260162601626,0.0001806684733514,0.0001806684733514,0.000722673893405601,0.0004516711833785,0.0048780487804878,22.3187720925562,37.2463800820362
"A.J. Guyton","PG","2000-2001",22,"CHI",0.397916666666667,0.00134082492657387,0.000510790448218618,0.00236240582301111,0.000957732090409909,0.000319244030136636,0.000319244030136636,0.000191546418081982,0.000510790448218618,0.00121312731451922,0.000191546418081982,0.000127697612054655,0.000446941642191291,0.0007023368663006,0.00383092836163964,18.6544255952012,26.9775028738956
"A.J. Hammons","C","2016-2017",24,"DAL",0.154166666666667,0.000823994726433751,0.0003295978905735,0.00247198417930125,0.000823994726433751,0.00148319050758075,0.000659195781147001,0.000659195781147001,0.00214238628872775,0.0003295978905735,0,0.000988793671720501,0.000823994726433751,0.0016479894528675,0.0036255767963085,-38.8794361337235,-33.2408117358849
"A.J. Price","PG","2010-2011",24,"IND",0.33125,0.00230096640589047,0.000613591041570793,0.00260776192667587,0.00115048320294524,0.00122718208314159,0.000843687682159841,0.000230096640589047,0.000843687682159841,0.00168737536431968,0.000460193281178095,0,0.000843687682159841,0.00092038656235619,0.00498542721276269,-19.0043440843885,36.6787049760797
"A.J. Price","PG","2011-2012",25,"IND",0.26875,0.00189071658158442,0.000567214974475326,0.00189071658158442,0.000756286632633768,0.000756286632633768,0.000567214974475326,0.000283607487237663,0.00103989411987143,0.00189071658158442,0.000472679145396105,0,0.000661750803554547,0.000661750803554547,0.00368689733408962,41.1007189645532,27.3134016975033
"A.J. Price","PG","2009-2010",23,"IND",0.320833333333333,0.00245486221095977,0.000871080139372822,0.00253405131453912,0.00118783655369021,0.00102945834653152,0.000871080139372822,0.000158378207158695,0.00110864745011086,0.0015045929680076,0.000475134621476085,0.0000791891035793475,0.000871080139372822,0.000712701932214127,0.00578080456129237,-1.10453635311235,28.3198911100275
"A.J. Price","PG","2012-2013",26,"WAS",0.466666666666667,0.00190548780487805,0.000653310104529617,0.00201437282229965,0.000871080139372822,0.000598867595818815,0.000489982578397213,0.000217770034843206,0.000871080139372822,0.00195993031358885,0.000326655052264808,0.0000544425087108014,0.000598867595818815,0.000707752613240418,0.00419207317073171,42.5415231220806,9.72475427358154
